date,market,lev_fund_long,lev_fund_short,lev_fund_spreading,lev_fund_net
2018-01-02,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,201798,135894,6899,65904
2018-01-02,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,26582,3220,624,23362
2018-01-02,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,348963,501994,88123,-153031
2018-01-02,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2291,5688,0,-3397
2018-01-02,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,2000,517,0,1483
2018-01-02,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,61685,10477,6547,51208
2018-01-02,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,88400,106241,5240,-17841
2018-01-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,69393,103396,20315,-34003
2018-01-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17680,21248,1048,-3568
2018-01-02,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,474,2674,66,-2200
2018-01-02,DJIA Consolidated - CHICAGO BOARD OF TRADE,30843,5239,3274,25604
2018-01-02,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,6702,0,618,6702
2018-01-02,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13994,0,0,13994
2018-01-09,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,190356,133422,8481,56934
2018-01-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15116,17374,1132,-2258
2018-01-09,DJIA Consolidated - CHICAGO BOARD OF TRADE,29155,7229,4242,21926
2018-01-09,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,5362,0,818,5362
2018-01-09,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,58310,14457,8483,43853
2018-01-09,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,357685,613902,99735,-256217
2018-01-09,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2283,78,-2283
2018-01-09,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3664,7478,0,-3814
2018-01-09,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,75578,86872,5662,-11294
2018-01-09,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,25173,2673,1312,22500
2018-01-09,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,1800,533,0,1267
2018-01-09,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13152,0,0,13152
2018-01-09,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,474,2782,104,-2308
2018-01-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,70378,125435,24770,-55057
2018-01-16,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,1890,533,0,1357
2018-01-16,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,24996,2323,1289,22673
2018-01-16,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,61870,17701,7825,44169
2018-01-16,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,0,0,0
2018-01-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,85071,124619,25504,-39548
2018-01-16,DJIA Consolidated - CHICAGO BOARD OF TRADE,30935,8851,3913,22084
2018-01-16,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,78975,83656,4974,-4681
2018-01-16,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,426192,610683,106188,-184491
2018-01-16,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2122,370,798,1752
2018-01-16,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,1516,1885,13,-369
2018-01-16,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,1555,495,250,1060
2018-01-16,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13220,0,0,13220
2018-01-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15795,16731,995,-936
2018-01-16,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,178943,125663,7885,53280
2018-01-16,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,4099,6749,0,-2650
2018-01-23,DJIA Consolidated - CHICAGO BOARD OF TRADE,28954,8944,3425,20010
2018-01-23,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13212,0,0,13212
2018-01-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12219,14400,787,-2181
2018-01-23,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1146,96,-1146
2018-01-23,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,7420,12130,0,-4710
2018-01-23,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,23664,2465,1747,21199
2018-01-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,92258,121770,34682,-29512
2018-01-23,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,239,1648,13,-1409
2018-01-23,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2122,1631,798,491
2018-01-23,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,480173,604182,117425,-124009
2018-01-23,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,158905,127824,8835,31081
2018-01-23,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,2534,521,0,2013
2018-01-23,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,61093,71998,3935,-10905
2018-01-23,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,57907,17887,6850,40020
2018-01-23,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2088,79,-2088
2018-01-30,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2090,77,-2090
2018-01-30,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,4258,230,0,4028
2018-01-30,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2388,1631,798,757
2018-01-30,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,7187,7229,0,-42
2018-01-30,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,1579,569,250,1010
2018-01-30,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1148,94,-1148
2018-01-30,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,12930,0,0,12930
