date,asset_class,trade_count,total_notional_bn,usd_notional_bn,cleared_count,cleared_notional_bn,uncleared_notional_bn,cleared_pct,cleared_notional_pct,pb_count,pb_pct,block_count,block_pct,avg_trade_size_bn
2025-03-13,COMMODITIES,8167,12.693921715,9.423644921,0,0.0,12.693921715,0.0,0.0,86,0.0105301824415329,7,0.000857107873148,0.0015542943204359
2025-03-13,CREDITS,2887,156.848196737,70.015113586,2345,78.647124,78.201072737,0.8122618635261517,0.5014219202779485,0,0.0,352,0.1219258746103221,0.0543291294551437
2025-03-13,EQUITIES,610662,3571.586760603,139.868925933,0,0.0,3571.586760603,0.0,0.0,0,0.0,0,0.0,0.0058487129715014
2025-03-13,FOREX,46199,60199.677434653,163.243067279,2605,4942.457802771,55257.219631882,0.0563865018723349,0.0821010678692765,18385,0.397952336630663,963,0.0208446070261261,1.3030515256748632
2025-03-13,RATES,25934,44793.907383018,1443.858628405,19610,32081.884790948,12712.02259207,0.7561502275005784,0.7162109015546765,44,0.0016966144829181,1688,0.0650883010719518,1.7272270911937224
2025-03-14,COMMODITIES,9341,17.069457193,9.094147209,0,0.0,17.069457193,0.0,0.0,85,0.0090996681297505,6,0.0006423295150412,0.0018273693601327
2025-03-14,CREDITS,2583,104.625541194,62.000908043,2111,69.924487,34.701054194,0.8172667440960124,0.668330946746013,2,0.0007742934572202,289,0.1118854045683314,0.0405054360023228
2025-03-14,EQUITIES,592910,5558.972140973,134.991203668,0,0.0,5558.972140973,0.0,0.0,0,0.0,0,0.0,0.0093757436052233
2025-03-14,FOREX,72608,53815.992608192,111.558737055,2039,4308.362004214,49507.630603978,0.0280823049801674,0.0800572802880564,47238,0.6505894667254297,733,0.0100953063023358,0.7411854424883209
2025-03-14,RATES,21007,39988.880502882,1153.635864782,15589,27567.81553468,12421.064968202,0.7420859713428857,0.6893870292941356,50,0.0023801589946208,1378,0.0655971818917503,1.903597872275051
2025-03-17,COMMODITIES,4840,10.457976743,9.384271479,0,0.0,10.457976743,0.0,0.0,59,0.012190082644628,19,0.0039256198347107,0.0021607389964876
2025-03-17,CREDITS,1900,176.341270819,55.396300299,1379,49.460465,126.880805819,0.7257894736842105,0.2804815048132842,4,0.0021052631578947,199,0.1047368421052631,0.0928111951678947
2025-03-17,EQUITIES,565952,2293.272837943,128.568957503,0,0.0,2293.272837943,0.0,0.0,0,0.0,0,0.0,0.0040520624327557
2025-03-17,FOREX,47380,43916.580252365,155.268375856,2739,3536.477123648,40380.103128717,0.057809202195019,0.0805271517801651,17005,0.3589067116926973,878,0.0185310257492612,0.9269012294716124
2025-03-17,RATES,19438,34059.37922604,825.809798025,14971,23178.768259,10880.61096704,0.7701924066261961,0.6805399506893755,62,0.0031896285626093,1464,0.075316390575162,1.7522059484535446
2025-03-18,COMMODITIES,11475,15.45454449,12.010487812,0,0.0,15.45454449,0.0,0.0,82,0.0071459694989106,2,0.0001742919389978,0.001346801262745
2025-03-18,CREDITS,1648,115.454363465,42.759002532,1236,44.113482,71.340881465,0.75,0.3820858794425124,0,0.0,137,0.083131067961165,0.0700572593841019
2025-03-18,EQUITIES,577822,2062.868792574,129.984495084,0,0.0,2062.868792574,0.0,0.0,0,0.0,0,0.0,0.0035700765851317
2025-03-18,FOREX,47307,62319.017056003,167.329540148,3180,5267.717220308,57051.299835695,0.0672204959096962,0.0845282462586687,16435,0.3474115881370622,1010,0.0213499059335827,1.3173318336821824
2025-03-18,RATES,30424,46259.127951189,1361.827430755,24195,33603.315179298,12655.812771891,0.7952603207993689,0.7264148000099576,58,0.0019063896923481,1702,0.0559426768340783,1.520481460399323
2025-03-19,COMMODITIES,10805,46.224780697,8.698774732,0,0.0,46.224780697,0.0,0.0,93,0.0086071263304025,4,0.0003701989819527,0.0042780916887552
2025-03-19,CREDITS,2204,154.099412323,65.590655093,1569,48.692453405,105.406958918,0.7118874773139746,0.3159807858510077,0,0.0,170,0.0771324863883847,0.0699180636674228
2025-03-19,EQUITIES,568236,1609.895692539,126.822558946,0,0.0,1609.895692539,0.0,0.0,0,0.0,0,0.0,0.0028331462500422
2025-03-19,FOREX,42363,45062.868681925,125.741941275,2574,4907.684764033,40155.183917892,0.0607605693647758,0.1089075087223974,16625,0.3924415173618488,935,0.0220711469914784,1.0637317631405945
2025-03-19,RATES,20791,40171.247615073,1481.211746745,15294,27972.71152701,12198.536088063,0.7356067529219373,0.6963366384596459,77,0.0037035255639459,1410,0.0678178057813477,1.9321460062081188
2025-03-20,COMMODITIES,8507,9.287179741,7.526433148,0,0.0,9.287179741,0.0,0.0,86,0.0101093217350417,6,0.0007053015163982,0.0010917103257317
2025-03-20,CREDITS,5009,306.97161114,113.973616984,4589,171.271144,135.70046714,0.9161509283290078,0.557938056108676,0,0.0,2004,0.4000798562587342,0.0612840110081852
2025-03-20,EQUITIES,545710,1458.357558831,124.88833432,0,0.0,1458.357558831,0.0,0.0,0,0.0,1,1.832475124150189e-06,0.0026724039486742
2025-03-20,FOREX,45258,52828.454207818,160.67786237,2465,4543.335350543,48285.118857275,0.0544655088603119,0.0860016712332771,18290,0.404127447081179,865,0.0191126430686287,1.167273282244421
2025-03-20,RATES,20027,26342.187662767,1276.194806304,14702,19706.92199001,6635.265672757,0.7341089529135667,0.7481125805608194,32,0.0015978429120687,1483,0.0740500324561841,1.31533368266675
2025-03-21,COMMODITIES,8281,8.333414608,6.300021155,0,0.0,8.333414608,0.0,0.0,35,0.0042265426880811,0,0.0,0.001006329502234
2025-03-21,CREDITS,3112,693.590915015,65.093944015,2693,91.3854788,602.205436215,0.8653598971722365,0.1317570297154536,0,0.0,863,0.2773136246786632,0.222876258038239
2025-03-21,EQUITIES,581718,3046.148695839,126.832836049,0,0.0,3046.148695839,0.0,0.0,0,0.0,3,5.157137994698462e-06,0.0052364697256041
2025-03-21,FOREX,43950,40113.216050905,114.286312178,2666,4020.358550982,36092.857499923,0.0606598407281001,0.1002252859975134,18680,0.4250284414106939,879,0.02,0.9127011615678045
2025-03-21,RATES,19194,31570.288807547,780.704415635,14635,23490.8034597,8079.485347847,0.7624778576638533,0.7440794603717541,38,0.0019797853495884,1084,0.0564759820777326,1.644799875354121
2025-03-24,COMMODITIES,4857,12.76289626,11.123112641,0,0.0,12.76289626,0.0,0.0,25,0.005147210212065,0,0.0,0.0026277323985999
2025-03-24,CREDITS,2055,422.742132626,50.704780326,1701,62.43297009,360.309162536,0.8277372262773722,0.1476857054729258,0,0.0,385,0.1873479318734793,0.2057139331513382
2025-03-24,EQUITIES,584698,2773.873710244,131.323032009,0,0.0,2773.873710244,0.0,0.0,0,0.0,1,1.710284625567387e-06,0.0047441135598958
2025-03-24,FOREX,42980,35249.39006308,134.816970827,2370,3848.625901421,31400.764161659,0.0551419264774313,0.109182765844565,16662,0.3876686831084225,1005,0.0233829688227082,0.8201347152880409
2025-03-24,RATES,18507,30259.192135106,1130.459691699,13219,22378.67090222,7880.521232886,0.7142702761117415,0.7395660400416572,45,0.0024315124007132,1352,0.0730534392392067,1.6350133536016642
2025-03-25,COMMODITIES,9410,37.330344704,9.427052224,0,0.0,37.330344704,0.0,0.0,20,0.002125398512221,0,0.0,0.003967092954729
2025-03-25,CREDITS,1885,209.753065189,48.266539193,1493,53.5971,156.155965189,0.7920424403183024,0.2555247521732558,0,0.0,295,0.156498673740053,0.1112748356440318
2025-03-25,EQUITIES,614258,1863.99462361,126.65150098,0,0.0,1863.99462361,0.0,0.0,0,0.0,0,0.0,0.0030345467598468
2025-03-25,FOREX,42751,50743.238529835,177.590422813,2547,6433.314867202,44309.923662633,0.0595775537414329,0.1267817162166239,17220,0.4027975953778859,1133,0.0265023040396715,1.1869485750002338
2025-03-25,RATES,33138,44031.586235607,1236.470370872,22373,30866.19635372,13165.389881887,0.6751463576558634,0.7010012355348545,52,0.0015691954855452,1007,0.0303880741143098,1.3287339681214014
2025-03-26,COMMODITIES,10823,20.048197475,12.58459517,0,0.0,20.048197475,0.0,0.0,469,0.0433336413194123,37,0.0034186454772244,0.0018523697195786
2025-03-26,CREDITS,2087,158.655763308,42.698625984,1642,51.7852885,106.870474808,0.7867752755150934,0.3264002984843904,0,0.0,303,0.1451844753234307,0.0760209694815524
2025-03-26,EQUITIES,581923,1946.14530513,132.777663845,0,0.0,1946.14530513,0.0,0.0,0,0.0,0,0.0,0.0033443347403866
2025-03-26,FOREX,43632,42596.227062022,148.941616518,2418,4349.938875888,38246.288186134,0.0554180418041804,0.1021202856664815,17380,0.3983314998166483,938,0.0214979831316464,0.9762611629542997
2025-03-26,RATES,22121,49457.833598191,894.417602562,14925,36496.588425,12961.245173191,0.6746982505311695,0.7379334226708815,31,0.0014013833009357,1190,0.0537950363907599,2.2357865195149857
2025-03-27,COMMODITIES,12392,32.112854032,19.693382092,0,0.0,32.112854032,0.0,0.0,18,0.0014525500322788,1,8.069722401549386e-05,0.0025914181755971
2025-03-27,CREDITS,3138,140.046015019,61.706115042,2714,74.816255,65.229760019,0.8648820905035054,0.5342262326411051,0,0.0,870,0.277246653919694,0.0446290678836838
2025-03-27,EQUITIES,605280,1921.963027021,127.794584176,0,0.0,1921.963027021,0.0,0.0,0,0.0,0,0.0,0.0031753288181023
2025-03-27,FOREX,45186,47290.24562528,189.078256851,2880,5089.636343758,42200.609281522,0.0637365555703093,0.1076255002794324,17090,0.3782144912140928,1163,0.0257380604612047,1.0465685306351524
