quarter,asset_class,trading_days,quarter_end_date,quarter_end_trade_count,quarter_end_total_notional_bn,quarter_end_usd_notional_bn,quarter_end_cleared_count,quarter_end_cleared_notional_bn,quarter_end_uncleared_notional_bn,quarter_end_cleared_pct,quarter_end_cleared_notional_pct,pb_count,quarter_end_pb_pct,block_count,quarter_end_block_pct,avg_trade_size_bn
2025Q1,COMMODITIES,13,2025-03-31,9443,28.957449496,22.880387042,0,0.0,28.957449496,0.0,0.0,48,0.005083130361114,1,0.0001058985491898,0.0030665518898655
2025Q1,CREDITS,13,2025-03-31,3073,434.81103384,75.309108815,2565,81.9295078,352.88152604,0.8346892287666775,0.1884255490861073,1,0.0003254149040026,429,0.1396029938171168,0.1414939908363163
2025Q1,EQUITIES,13,2025-03-31,594162,2911.76864691,142.81758087,0,0.0,2911.76864691,0.0,0.0,0,0.0,0,0.0,0.0049006308833449
2025Q1,FOREX,13,2025-03-31,39303,32915.076452593,114.440592807,2175,3505.636990375,29409.439462218,0.0553392870773223,0.1065055095777798,13780,0.35060936824161,896,0.0227972419408187,0.837469822980256
2025Q1,RATES,13,2025-03-31,19225,24219.829161986,831.281351768,13124,16510.0128175,7709.816344486,0.6826527958387516,0.681673380397461,40,0.0020806241872561,813,0.0422886866059817,1.2598090591410145
2025Q2,COMMODITIES,65,2025-06-30,24540,16.717413154,12.347628169,0,0.0,16.717413154,0.0,0.0,75,0.0030562347188264,4,0.000162999185004,0.0006812311798696
2025Q2,CREDITS,65,2025-06-30,1447,96.81167675,33.65607375,1054,32.1824131,64.62926365,0.728403593642018,0.3324228458836191,0,0.0,115,0.0794747753973738,0.0669050979612992
2025Q2,EQUITIES,65,2025-06-30,619047,654.385717451,145.011149981,0,0.0,654.385717451,0.0,0.0,0,0.0,0,0.0,0.0010570856775834
2025Q2,FOREX,65,2025-06-30,56092,50160.186231945,149.540616888,3261,4891.834735943,45268.351496002,0.0581366326748912,0.0975242538638659,26420,0.471011909006632,886,0.0157954788561648,0.8942484887674713
2025Q2,RATES,65,2025-06-30,18409,19435.430502673,769.98577096,11959,12902.383857936,6533.046644737,0.649627899397034,0.6638589176690223,30,0.001629637677223,685,0.037210060296594,1.0557569940068987
2025Q3,COMMODITIES,66,2025-09-30,9432,31.99333148,15.724600852,0,0.0,31.99333148,0.0,0.0,131,0.0138888888888888,3,0.0003180661577608,0.0033919986726039
2025Q3,CREDITS,66,2025-09-30,2201,224.32745501,54.309082005,1755,53.654355,170.67310001,0.797364834166288,0.2391787264630993,0,0.0,448,0.2035438437074057,0.1019206974148114
2025Q3,EQUITIES,66,2025-09-30,740805,1497.56612201,159.13035301,0,0.0,1497.56612201,0.0,0.0,0,0.0,0,0.0,0.0020215388962142
2025Q3,FOREX,66,2025-09-30,62766,101862.517652831,173.343961494,4029,9999.651304044,91862.866348787,0.064190803938438,0.0981681145769921,25726,0.409871586527738,486,0.0077430455979351,1.6228932487784946
2025Q3,RATES,66,2025-09-30,29848,49388.643232613,1341.581735529,23066,32462.06569882,16926.577533793,0.7727820959528277,0.6572779403136993,276,0.0092468507102653,1210,0.0405387295631198,1.6546717780961204
2025Q4,COMMODITIES,66,2025-12-31,3947,13.698388683,11.705438838,0,0.0,13.698388683,0.0,0.0,62,0.0157081327590575,5,0.0012667848999239,0.0034705823873828
2025Q4,CREDITS,65,2025-12-31,345,16.688533518,14.264533518,294,10.702486,5.986047518,0.8521739130434782,0.6413077571169726,0,0.0,42,0.1217391304347826,0.0483725609217391
2025Q4,EQUITIES,66,2025-12-31,749822,262.3366226,139.39423848,0,0.0,262.3366226,0.0,0.0,0,0.0,97,0.0001293640357311,0.0003498651981403
2025Q4,FOREX,66,2025-12-31,24461,26845.327751443,52.732852164,2424,4015.436131915,22829.891619528,0.0990965209926004,0.1495767222174875,9000,0.367932627447774,218,0.008912145864846,1.097474663809452
2025Q4,RATES,66,2025-12-31,5645,2319.130361085,536.90519157,3373,1159.70565431,1159.424706775,0.5975199291408326,0.5000605717426916,9,0.0015943312666076,230,0.0407440212577502,0.4108291162240921
2026Q1,COMMODITIES,57,2026-03-20,5743,16.713833522,11.574377539,34,0.203,16.510833522,0.0059202507400313,0.0121456277360185,61,0.0106216263277032,2,0.0003482500435312,0.0029102966258053
2026Q1,CREDITS,57,2026-03-20,6434,239.583158603,137.246801722,5954,211.88535395,27.697804653,0.9253963319863228,0.8843916875689226,1,0.0001554243083618,2319,0.3604289710910786,0.0372370467210133
2026Q1,EQUITIES,57,2026-03-20,922148,2251.040827025,238.917235465,0,0.0,2251.040827025,0.0,0.0,0,0.0,98,0.0001062736133462,0.0024410841069166
2026Q1,FOREX,57,2026-03-20,55245,37818.614091834,151.664370271,5736,6670.317400636,31148.296691198,0.1038284007602498,0.1763765690735951,23299,0.421739523938818,432,0.0078197121911485,0.6845617538570731
2026Q1,RATES,57,2026-03-20,24137,29823.942031234,1283.778967719,18070,20039.910140898,9784.031890336,0.7486431619505324,0.6719403531535373,80,0.0033144135559514,1877,0.0777644280565107,1.2356109720029
