fcm_name,registered_as,dsro,as_of_date,adj_net_capital,net_capital_requirement,excess_net_capital,customer_assets_seg,customer_seg_required,excess_funds_seg,target_residual_seg,funds_section_30_7,customer_pt30_required,excess_funds_30_7,target_residual_30_7,cleared_swap_seg,cleared_swap_required,excess_cleared_swap,target_residual_swap,retail_forex_obligation
ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2022-01-31,600699810,245036290,355663520,4563625306,4012651670,550973636,371621969,104558999,85626033,18932966,8562603,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2022-01-31,437855367,336414278,101441089,7253047803,7050313441,202734362,120000000,522730879,477126184,45604695,20000000,9814662,0,9814662,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2022-01-31,27582056,11236827,16345229,410488735,393061336,17427399,10500000,34485664,30863882,3621782,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2022-01-31,7001575,1000000,6001575,75270304,67828982,7441322,900000,2409027,2019965,389062,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2022-01-31,444391226,43243124,401148102,108271041,78622242,29648799,10000000,0,0,0,0,0,0,0,0,0
BAKKT CLEARING LLC,FCM,NFA,2022-01-31,2018423,1000000,1018423,0,0,0,0,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2022-01-31,7221693411,1902153425,5319539986,10235583250,9903630223,331953027,55000000,3558381823,3382507695,175874128,12000000,12321776693,11895990899,425785794,250000000,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2022-01-31,2215796692,688602180,1527194512,6075673874,5435201527,640472347,503000000,457454382,302758298,154696084,30000000,2024053657,1855471576,168582081,95000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2022-01-31,12700247642,3462673762,9237573880,21707710157,21305934431,401775726,200000000,5015219254,4756027300,259191954,150000000,13861460788,13535337126,326123662,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2022-01-31,430699943,3375283,427324660,4969921,0,4969921,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2022-01-31,242767238,40908591,201858647,718330849,560701009,157629840,100000000,0,0,0,0,0,0,0,0,64902622
CHS HEDGING LLC,FCM,CBOT,2022-01-31,70111766,24801499,45310267,261742486,201843151,59899335,14100000,1527272,0,1527272,200000,510188,0,510188,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2022-01-31,11129432850,4401409634,6728023216,19315886688,18615789477,700097211,487200000,6284780494,5948276649,336503845,191100000,31541299199,30863335031,677964168,452200000,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2022-01-31,11581518857,803617694,10777901163,2869229434,2670361292,198868142,133518065,4008185715,2921887564,1086298151,146094378,6829763145,6329538780,500224365,316476939,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2022-01-31,38921618,1000000,37921618,59725710,55905230,3820480,3050000,1201253,772060,429193,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2022-01-31,1255344655,1500000,1253844655,2163310,0,2163310,1,455413,0,455413,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2022-01-31,6177926046,216387898,5961538148,2762225276,2559692702,202532574,125000000,787138162,658518879,128619283,75000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2022-01-31,11298191,1446318,9851873,66942191,59023430,7918761,2500000,0,0,0,0,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2022-01-31,16420489,2403620,14016869,174880884,169951845,4929039,2000000,18757368,17830038,927330,200000,0,0,0,0,0
E D & F MAN CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2022-01-31,205480930,128126615,77354315,3431213860,3353336586,77877274,44250000,87150421,77241070,9909351,5000000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2022-01-31,37710850,7073977,30636873,164166495,126146965,38019530,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2022-01-31,1935261,1000000,935261,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2022-01-31,52383891,30045596,22338295,0,0,0,0,0,0,0,0,0,0,0,0,210911915
GH FINANCIALS LLC,FCM,CME,2022-01-31,27673283,8588198,19085085,149984684,129343914,20640770,5500000,4992759,3516661,1476098,250000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2022-01-31,22383087898,4325121550,18057966348,36448656784,35542350507,906306277,675000000,10567024103,9998538703,568485400,475000000,14940078949,14494163741,445915208,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM BD,NFA,2022-01-31,33375312,1000000,32375312,0,0,0,0,0,0,0,0,0,0,0,0,0
HSBC SECURITIES USA INC,FCM BD,CME,2022-01-31,1193087181,432709622,760377559,4827192450,4719108326,108084124,96000000,185236534,156272255,28964279,15000000,1604280496,1516885925,87394571,75000000,0
IG US LLC,RFED,NFA,2022-01-31,28735090,21384998,7350092,0,0,0,0,0,0,0,0,0,0,0,0,37699964
INTERACTIVE BROKERS LLC,FCM BD,CME,2022-01-31,5691077340,902895430,4788181910,8090377233,7857304125,233073108,155000000,605752271,475323203,130429068,80000000,0,0,0,0,22829020
IRONBEAM INC,FCM,NFA,2022-01-31,7901666,1000000,6901666,68439476,60240875,8198601,1600000,376933,126696,250237,60000,0,0,0,0,0
JEFFERIES LLC,FCM BD,NFA,2022-01-31,1767243614,107495576,1659748038,0,0,0,0,0,0,0,0,0,0,0,0,0
JP MORGAN SECURITIES LLC,FCM BD SD,CEI/NFA,2022-01-31,24016801975,5901099655,18115702320,48476999953,46897414544,1579585409,1078640535,9138859753,8612711679,526148074,215317792,18861921500,18087675992,774245508,488367252,0
MACQUARIE FUTURES USA LLC,FCM,CBOT,2022-01-31,423881628,353662422,70219206,4080949080,3824421974,256527106,100000000,166205397,138093627,28111770,7000000,16418458,28068,16390390,1000000,0
MAREX NORTH AMERICA LLC,FCM,CME,2022-01-31,194664082,168418399,26245683,3362491060,3329802550,32688510,26379941,176877927,161730375,15147552,10250000,0,0,0,0,0
MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2022-01-31,13827169,2381462,11445707,446481024,426033913,20447111,18000000,2567861,0,2567861,1000000,0,0,0,0,0
MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2022-01-31,7554443294,1481078467,6073364827,2152575857,1087743414,1064832443,300000000,0,0,0,0,0,0,0,0,0
MID CO COMMODITIES INC,FCM,NFA,2022-01-31,16613475,9341363,7272112,88760686,71910674,16850012,5138000,0,0,0,0,0,0,0,0,0
MINT BROKERS,FCM BD,NFA,2022-01-31,2416882,1000000,1416882,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZUHO SECURITIES USA LLC,FCM BD,CME,2022-01-31,1186717921,655736605,530981316,10077326924,9585824595,491502329,150000000,1177432469,997671374,179761095,70000000,20426464,0,20426464,10000000,0
