as_of_date,adj_net_capital,net_capital_requirement,excess_net_capital,customer_assets_seg,customer_seg_required,excess_funds_seg,funds_section_30_7,customer_pt30_required,cleared_swap_seg,cleared_swap_required,excess_cleared_swap,retail_forex_obligation,fcm_count,capital_adequacy_ratio,excess_capital_pct,swap_seg_share
2022-01-31,164246396310,36836396481,127409999829,278563859389,267110508382,11453351007,63716289348,58952796733,147551822696,142586997924,4964824772,529024789,61,4.458807375328294,0.775724781130207,0.34627174943204014
2022-02-28,167067595406,37611609098,129455986308,287686013574,273361248895,14324764679,65460636581,60021297044,145791166305,137338819297,8452347008,540917179,61,4.441915658824707,0.7748719073462571,0.3363295072319513
2022-03-31,161307943146,40259200862,121048742284,317849383270,304176077947,13673305323,71236839396,65776198296,152785671810,145132475769,7653196041,505760398,61,4.006734850473793,0.7504202206238452,0.32463725377198904
2022-04-30,156768719054,39597200776,117171518278,316940660422,303185495937,13755164485,66970764441,62286747463,154297948540,146781133408,7516815132,496387204,61,3.9590858945013623,0.7474164424194824,0.3274306171132136
2022-05-31,168537518086,40482959774,128054558312,325289095455,312939861095,12349234360,68090025028,63244699169,160270611312,152742088218,7528523094,509530426,60,4.163171838889173,0.759798528934414,0.3300739519329746
2022-06-30,164408451541,40369761665,124038689876,307402593657,294527982305,12874611352,67705745463,63123795558,159273407601,150403548104,8869859497,510651006,60,4.0725643342982565,0.7544544621239704,0.34129333235832354
2022-07-31,165839007387,40506605984,125332401403,311582505737,298958181209,12624324528,68962477868,64174280723,158022060315,152057531164,5964529151,512609970,60,4.094122510597554,0.7557474165925616,0.3365002637080449
2022-08-31,167374202408,40086115220,127288087188,309922110617,297748885723,12173224894,67604776529,63433754381,158653467180,153096824108,5556643072,515088621,60,4.17536599616649,0.7605000373816031,0.33858671833881426
2022-09-30,164092176080,39468768224,124623407856,308240042523,294752979812,13487062711,63971568090,59874498898,160927840125,154464525140,6463314985,490159422,62,4.1575195645507765,0.7594719677264944,0.34300694074947674
2022-10-31,170303398892,38601376259,131702022633,298500356466,286423815493,12076540973,66643106155,62668664577,158860336811,151922941209,6937395602,504096679,62,4.411847850950479,0.7733376050616609,0.3473414728160437
2022-11-30,168230545305,39861761325,128368783980,298193004087,286704010587,11488993500,69882187173,64961558051,158853505308,152989219347,5864285961,486096645,62,4.2203490190357265,0.763052772296903,0.3475652959657804
2022-12-31,175334015448,38479536165,136854479283,296133986404,284476468234,11657518170,68082130010,63127819714,158411387676,152907176299,5504211377,482214341,63,4.556552207286722,0.780535818639184,0.3485051145809694
2023-01-31,174246997757,39109645345,135137352412,295873630516,283822762278,12050868238,69698748382,64931931167,159260317533,153343827450,5916490083,490942717,63,4.455345892807405,0.7755505354557602,0.349919662586571
2023-02-28,175258040505,38451285835,136806754670,285218630920,274197594638,11021036282,65448202633,61069196741,155963530401,150584546038,5378984363,504429749,62,4.557924051150265,0.7806018729628385,0.35351277561633415
2023-03-31,175562128517,39733116693,135829011824,296806176266,283765912224,13040264042,63426366473,59182811321,163458748664,157909018091,5549730573,513446269,62,4.41853403732433,0.773680593709864,0.35514057189749976
2023-04-30,179548750220,40266359675,139282390545,297048135090,283629565716,13418569374,64148991665,59957465169,166182619498,160035863334,6146756164,513732526,62,4.4590261366854,0.7757357841496425,0.3587469481507197
2023-05-31,179934069242,39884267413,140049801829,297816947655,284161795927,13655151728,62163728857,57786358044,165840000430,159453127197,6386873233,527970307,62,4.511404644312252,0.7783395463626281,0.35767823843674473
2023-06-30,178943413672,39030590247,139912823425,293156264138,278061922980,15094341158,62362708097,57922999980,167279226594,161812484669,5466741925,511308702,62,4.584696581311734,0.781883057632161,0.3633065433945146
2023-07-31,184291761177,39069336039,145222425138,292528497929,278708654012,13819843917,61906232072,57654939104,165346097312,159736257687,5609839625,518545521,62,4.717043591245966,0.7880028071277886,0.3611165568707102
2023-08-31,182731953325,37073023143,145658930182,280997790978,268249231311,12748559667,59211286387,55198501027,164239769034,158813327606,5426441428,524962114,62,4.9289736264603174,0.7971180055353354,0.36888120811185254
2023-09-30,171055692821,35895683999,135160008822,281214257893,269281555835,11932702058,56538357306,52605209930,157394508362,151929734933,5464773429,516326469,62,4.765355434535398,0.7901520644708225,0.35884943592416346
2023-10-31,171891372437,35384537899,136506834538,279216385936,268121999451,11094386485,53973281971,50269617465,153948798216,148834880338,5113917878,518418619,62,4.857810293514044,0.7941459341598497,0.3554043673140142
2023-11-30,172368456787,36839428239,135529028548,280395385581,269121410476,11273975105,58037911160,53188414715,162920484406,157522072834,5398411572,518196590,62,4.678912378029864,0.7862751171200459,0.3675042908136304
2023-12-31,170010686428,37548860342,132461826086,289723100578,278074018024,11649082554,59528784791,55491994368,167375556808,162005086439,5370470369,516235266,63,4.52771894751319,0.7791382345961997,0.3661694343299254
2024-01-31,164429976082,38135326840,126294649242,290377187717,277600260651,12776927066,59396611504,55493864831,164933213501,156612334575,8320878926,529721236,64,4.311749490751185,0.7680755799600543,0.36224345646351913
2024-02-29,163580797363,37724937390,125855859973,287566894721,276460502290,11106392431,59443948005,55739279042,162950025741,157443132856,5506892885,542302015,64,4.336144966177239,0.7693804040685467,0.36169568409083636
2024-03-31,168136706486,37763596211,130373110275,291291919333,280430506455,10861412878,61143803609,57371694921,162883545091,157129706157,5753838934,549389183,64,4.452348911543127,0.7753994532172878,0.35863572088284024
2024-04-30,164835188728,37189427561,127645761167,281860964605,271192179254,10668785351,60234103886,56650234916,160698348840,154628417177,6069931663,547759474,64,4.43231314753713,0.7743841721662509,0.3631114383043509
2024-05-31,165659626682,37997945640,127661681042,291662848513,280856466532,10806381981,60084166452,56495928005,159372588440,153605613881,5766974559,547720095,64,4.359699554588867,0.7706263958149513,0.35334826353479487
2024-06-30,162466872788,37500134995,124966737793,275671118373,264844285330,10826833043,58075164158,54073672504,161573485058,154890274678,6683210380,557549710,64,4.33243434482735,0.7691828841690501,0.36952653912742306
2024-07-31,165281378250,38936793088,126344585162,294459648505,283320025143,11139623362,59575524120,55429119605,164345109625,158455366111,5889743514,545512724,64,4.24486366600485,0.7644211737567599,0.35820271414542226
2024-08-31,168058927587,39383618676,128675308911,289932829237,278179022547,11753806690,62539294540,58072621493,169989693464,164504207079,5485486385,530101700,64,4.267229199266382,0.7656558967650673,0.36960506405665183
2024-09-30,160888990467,40364124218,120524866249,293788457513,282564826256,11223631257,62578037486,57866594440,175875370457,170362246215,5513124242,526758856,64,3.9859403265648727,0.7491181708528459,0.3744707596860836
2024-10-31,158560642106,40182173323,118378468783,287600597803,275012154810,12588442993,59267290938,55166714799,168521207637,162182021490,6339186147,527841656,65,3.946044451887349,0.746581668759025,0.36946536128531554
2024-11-30,162518680006,40631982524,121886697482,302550233240,290319704437,12230528803,61050246335,56206612454,167083689735,160697714785,6385974950,509735767,65,3.9997723446057662,0.7499857707280178,0.3557743202973316
