as_of_date,fcm_name,adj_net_capital,customer_assets_seg,market_share_seg
2022-01-31,JP MORGAN SECURITIES LLC,24016801975,48476999953,0.17402472833097987
2022-01-31,GOLDMAN SACHS & CO LLC,22383087898,36448656784,0.13084488728705235
2022-01-31,MORGAN STANLEY & CO LLC,16804516883,25768998431,0.0925066104681402
2022-01-31,BOFA SECURITIES INC,12700247642,21707710157,0.07792723077793917
2022-01-31,CITIGROUP GLOBAL MARKETS INC,11129432850,19315886688,0.06934096451121595
2022-01-31,SG AMERICAS SECURITIES LLC,4256893577,17018347768,0.06109316479649558
2022-01-31,BARCLAYS CAPITAL INC,7221693411,10235583250,0.03674411774898099
2022-01-31,MIZUHO SECURITIES USA LLC,1186717921,10077326924,0.03617600268069066
2022-01-31,INTERACTIVE BROKERS LLC,5691077340,8090377233,0.02904316895503019
2022-01-31,ADM INVESTOR SERVICES INC,437855367,7253047803,0.026037289327153865
2022-02-28,JP MORGAN SECURITIES LLC,22877732826,51837601406,0.18018811815704094
2022-02-28,GOLDMAN SACHS & CO LLC,23544210857,38628289094,0.13427239167490443
2022-02-28,MORGAN STANLEY & CO LLC,15949384495,26347931330,0.09158572223471217
2022-02-28,BOFA SECURITIES INC,16358881543,24335206962,0.08458946842662679
2022-02-28,CITIGROUP GLOBAL MARKETS INC,10229456643,19360607212,0.06729770061282445
2022-02-28,SG AMERICAS SECURITIES LLC,4187034378,16576565235,0.05762033763499627
2022-02-28,MIZUHO SECURITIES USA LLC,1224538618,11101261313,0.03858811617251069
2022-02-28,BARCLAYS CAPITAL INC,7008201075,9740458620,0.03385794984953105
2022-02-28,INTERACTIVE BROKERS LLC,5589761255,8308290015,0.028879714768833907
2022-02-28,ADM INVESTOR SERVICES INC,432218605,7608311777,0.026446582099977387
2022-03-31,JP MORGAN SECURITIES LLC,21975341721,56802731632,0.1787095858032495
2022-03-31,GOLDMAN SACHS & CO LLC,21142437678,40010952618,0.12588022731512535
2022-03-31,MORGAN STANLEY & CO LLC,16799231334,26991664257,0.0849196684898762
2022-03-31,BOFA SECURITIES INC,14392233586,26610424668,0.08372023376051524
2022-03-31,CITIGROUP GLOBAL MARKETS INC,9929377435,20624829039,0.06488868666918272
2022-03-31,SG AMERICAS SECURITIES LLC,4089030502,18660476839,0.05870855134914228
2022-03-31,MIZUHO SECURITIES USA LLC,1358253511,16255786259,0.05114304798002826
2022-03-31,BARCLAYS CAPITAL INC,6829326497,11252625199,0.035402381729466366
2022-03-31,ADM INVESTOR SERVICES INC,497546217,8856005409,0.027862270229661534
2022-03-31,INTERACTIVE BROKERS LLC,5662961927,8809005505,0.02771440175335219
2022-04-30,JP MORGAN SECURITIES LLC,20457426161,52616181010,0.1660127196679108
2022-04-30,GOLDMAN SACHS & CO LLC,20766221175,40962110141,0.12924220605352368
2022-04-30,MORGAN STANLEY & CO LLC,14506296577,26623803378,0.08400248596235949
2022-04-30,BOFA SECURITIES INC,14615363824,26419069841,0.08335651792301925
2022-04-30,CITIGROUP GLOBAL MARKETS INC,9313093039,20778794876,0.06556052116611816
2022-04-30,SG AMERICAS SECURITIES LLC,4205502825,20035435378,0.06321509948052492
2022-04-30,MIZUHO SECURITIES USA LLC,1441775252,13821650841,0.043609585537547485
2022-04-30,BARCLAYS CAPITAL INC,6080090117,12331717168,0.03890859933080398
2022-04-30,ADM INVESTOR SERVICES INC,502807513,9262705519,0.029225361954717005
2022-04-30,INTERACTIVE BROKERS LLC,5777539976,8983228209,0.028343564997432062
2022-05-31,JP MORGAN SECURITIES LLC,23768708081,53250002572,0.16370054611734294
2022-05-31,GOLDMAN SACHS & CO LLC,22187206262,39035413926,0.1200022210132774
2022-05-31,MORGAN STANLEY & CO LLC,15555554467,28059206608,0.08625929058197301
2022-05-31,BOFA SECURITIES INC,17054843397,25771186450,0.07922548529932245
