creditor_type,quarter,share,source
US Financial,2013Q1,0.615,Tab.8.34
Non-US Financial,2013Q1,0.38,Tab.8.34
US Non-Financial,2013Q1,,Tab.8.34
Non-US Non-Financial,2013Q1,,Tab.8.34
US Financial,2013Q2,0.61,Tab.8.34
Non-US Financial,2013Q2,0.387,Tab.8.34
US Non-Financial,2013Q2,,Tab.8.34
Non-US Non-Financial,2013Q2,,Tab.8.34
US Financial,2013Q3,0.63,Tab.8.34
Non-US Financial,2013Q3,0.367,Tab.8.34
US Non-Financial,2013Q3,0.003,Tab.8.34
Non-US Non-Financial,2013Q3,0.0,Tab.8.34
US Financial,2013Q4,0.64,Tab.8.34
Non-US Financial,2013Q4,0.357,Tab.8.34
US Non-Financial,2013Q4,,Tab.8.34
Non-US Non-Financial,2013Q4,,Tab.8.34
US Financial,2014Q1,0.624,Tab.8.34
Non-US Financial,2014Q1,0.372,Tab.8.34
US Non-Financial,2014Q1,,Tab.8.34
Non-US Non-Financial,2014Q1,,Tab.8.34
US Financial,2014Q2,0.6,Tab.8.34
Non-US Financial,2014Q2,0.396,Tab.8.34
US Non-Financial,2014Q2,,Tab.8.34
Non-US Non-Financial,2014Q2,,Tab.8.34
US Financial,2014Q3,0.599,Tab.8.34
Non-US Financial,2014Q3,0.397,Tab.8.34
US Non-Financial,2014Q3,,Tab.8.34
Non-US Non-Financial,2014Q3,,Tab.8.34
US Financial,2014Q4,0.612,Tab.8.34
Non-US Financial,2014Q4,0.383,Tab.8.34
US Non-Financial,2014Q4,,Tab.8.34
Non-US Non-Financial,2014Q4,,Tab.8.34
US Financial,2015Q1,0.622,Tab.8.34
Non-US Financial,2015Q1,0.374,Tab.8.34
US Non-Financial,2015Q1,,Tab.8.34
Non-US Non-Financial,2015Q1,,Tab.8.34
US Financial,2015Q2,0.644,Tab.8.34
Non-US Financial,2015Q2,0.35,Tab.8.34
US Non-Financial,2015Q2,,Tab.8.34
Non-US Non-Financial,2015Q2,,Tab.8.34
US Financial,2015Q3,0.635,Tab.8.34
Non-US Financial,2015Q3,0.36,Tab.8.34
US Non-Financial,2015Q3,,Tab.8.34
Non-US Non-Financial,2015Q3,,Tab.8.34
US Financial,2015Q4,0.637,Tab.8.34
Non-US Financial,2015Q4,0.358,Tab.8.34
US Non-Financial,2015Q4,,Tab.8.34
Non-US Non-Financial,2015Q4,,Tab.8.34
US Financial,2016Q1,0.628,Tab.8.34
Non-US Financial,2016Q1,0.367,Tab.8.34
US Non-Financial,2016Q1,0.004,Tab.8.34
Non-US Non-Financial,2016Q1,0.001,Tab.8.34
US Financial,2016Q2,0.622,Tab.8.34
Non-US Financial,2016Q2,0.374,Tab.8.34
US Non-Financial,2016Q2,0.003,Tab.8.34
Non-US Non-Financial,2016Q2,0.001,Tab.8.34
US Financial,2016Q3,0.647,Tab.8.34
Non-US Financial,2016Q3,0.348,Tab.8.34
US Non-Financial,2016Q3,0.003,Tab.8.34
Non-US Non-Financial,2016Q3,0.002,Tab.8.34
US Financial,2016Q4,0.631,Tab.8.34
Non-US Financial,2016Q4,0.364,Tab.8.34
US Non-Financial,2016Q4,0.003,Tab.8.34
Non-US Non-Financial,2016Q4,0.001,Tab.8.34
US Financial,2017Q1,0.612,Tab.8.34
Non-US Financial,2017Q1,0.384,Tab.8.34
US Non-Financial,2017Q1,,Tab.8.34
Non-US Non-Financial,2017Q1,,Tab.8.34
US Financial,2017Q2,0.61,Tab.8.34
Non-US Financial,2017Q2,0.385,Tab.8.34
US Non-Financial,2017Q2,0.003,Tab.8.34
Non-US Non-Financial,2017Q2,0.001,Tab.8.34
US Financial,2017Q3,0.613,Tab.8.34
Non-US Financial,2017Q3,0.384,Tab.8.34
US Non-Financial,2017Q3,,Tab.8.34
Non-US Non-Financial,2017Q3,,Tab.8.34
US Financial,2017Q4,0.615,Tab.8.34
Non-US Financial,2017Q4,0.38,Tab.8.34
US Non-Financial,2017Q4,,Tab.8.34
Non-US Non-Financial,2017Q4,,Tab.8.34
US Financial,2018Q1,0.604,Tab.8.34
Non-US Financial,2018Q1,0.392,Tab.8.34
US Non-Financial,2018Q1,,Tab.8.34
Non-US Non-Financial,2018Q1,,Tab.8.34
US Financial,2018Q2,0.632,Tab.8.34
Non-US Financial,2018Q2,0.365,Tab.8.34
US Non-Financial,2018Q2,,Tab.8.34
Non-US Non-Financial,2018Q2,,Tab.8.34
US Financial,2018Q3,0.635,Tab.8.34
Non-US Financial,2018Q3,0.362,Tab.8.34
US Non-Financial,2018Q3,,Tab.8.34
Non-US Non-Financial,2018Q3,,Tab.8.34
US Financial,2018Q4,0.629,Tab.8.34
Non-US Financial,2018Q4,0.366,Tab.8.34
US Non-Financial,2018Q4,,Tab.8.34
Non-US Non-Financial,2018Q4,,Tab.8.34
US Financial,2019Q1,0.63,Tab.8.34
Non-US Financial,2019Q1,0.367,Tab.8.34
US Non-Financial,2019Q1,,Tab.8.34
Non-US Non-Financial,2019Q1,,Tab.8.34
US Financial,2019Q2,0.634,Tab.8.34
Non-US Financial,2019Q2,0.361,Tab.8.34
US Non-Financial,2019Q2,,Tab.8.34
Non-US Non-Financial,2019Q2,,Tab.8.34
US Financial,2019Q3,0.634,Tab.8.34
Non-US Financial,2019Q3,0.36,Tab.8.34
US Non-Financial,2019Q3,,Tab.8.34
Non-US Non-Financial,2019Q3,,Tab.8.34
US Financial,2019Q4,0.628,Tab.8.34
Non-US Financial,2019Q4,0.365,Tab.8.34
US Non-Financial,2019Q4,,Tab.8.34
Non-US Non-Financial,2019Q4,,Tab.8.34
US Financial,2020Q1,0.611,Tab.8.34
Non-US Financial,2020Q1,0.382,Tab.8.34
US Non-Financial,2020Q1,0.006,Tab.8.34
Non-US Non-Financial,2020Q1,0.001,Tab.8.34
US Financial,2020Q2,0.633,Tab.8.34
Non-US Financial,2020Q2,0.361,Tab.8.34
US Non-Financial,2020Q2,,Tab.8.34
Non-US Non-Financial,2020Q2,,Tab.8.34
US Financial,2020Q3,0.608,Tab.8.34
Non-US Financial,2020Q3,0.385,Tab.8.34
US Non-Financial,2020Q3,0.006,Tab.8.34
Non-US Non-Financial,2020Q3,0.001,Tab.8.34
US Financial,2020Q4,0.643,Tab.8.34
Non-US Financial,2020Q4,0.35,Tab.8.34
US Non-Financial,2020Q4,,Tab.8.34
Non-US Non-Financial,2020Q4,,Tab.8.34
US Financial,2021Q1,0.65,Tab.8.34
Non-US Financial,2021Q1,0.343,Tab.8.34
US Non-Financial,2021Q1,0.006,Tab.8.34
Non-US Non-Financial,2021Q1,0.001,Tab.8.34
US Financial,2021Q2,0.656,Tab.8.34
Non-US Financial,2021Q2,0.337,Tab.8.34
US Non-Financial,2021Q2,0.005,Tab.8.34
Non-US Non-Financial,2021Q2,0.001,Tab.8.34
US Financial,2021Q3,0.644,Tab.8.34
Non-US Financial,2021Q3,0.349,Tab.8.34
US Non-Financial,2021Q3,0.006,Tab.8.34
Non-US Non-Financial,2021Q3,0.001,Tab.8.34
US Financial,2021Q4,0.652,Tab.8.34
Non-US Financial,2021Q4,0.34,Tab.8.34
US Non-Financial,2021Q4,0.007,Tab.8.34
Non-US Non-Financial,2021Q4,0.002,Tab.8.34
US Financial,2022Q1,0.635,Tab.8.34
Non-US Financial,2022Q1,0.356,Tab.8.34
US Non-Financial,2022Q1,0.009,Tab.8.34
