type,subtype,month,amount_bn,source
Secured,Reverse Repo,2013-01,546,Tab.8.27
Secured,Prime Broker,2013-01,761,Tab.8.27
Secured,Other Secured,2013-01,201,Tab.8.27
Secured,Subtotal,2013-01,1508,Tab.8.27
Unsecured,Subtotal,2013-01,2,Tab.8.27
Total,Total,2013-01,1510,Tab.8.27
Secured,Reverse Repo,2013-02,610,Tab.8.27
Secured,Prime Broker,2013-02,763,Tab.8.27
Secured,Other Secured,2013-02,209,Tab.8.27
Secured,Subtotal,2013-02,1581,Tab.8.27
Unsecured,Subtotal,2013-02,2,Tab.8.27
Total,Total,2013-02,1584,Tab.8.27
Secured,Reverse Repo,2013-03,617,Tab.8.27
Secured,Prime Broker,2013-03,796,Tab.8.27
Secured,Other Secured,2013-03,245,Tab.8.27
Secured,Subtotal,2013-03,1659,Tab.8.27
Unsecured,Subtotal,2013-03,3,Tab.8.27
Total,Total,2013-03,1662,Tab.8.27
Secured,Reverse Repo,2013-04,709,Tab.8.27
Secured,Prime Broker,2013-04,863,Tab.8.27
Secured,Other Secured,2013-04,250,Tab.8.27
Secured,Subtotal,2013-04,1822,Tab.8.27
Unsecured,Subtotal,2013-04,5,Tab.8.27
Total,Total,2013-04,1827,Tab.8.27
Secured,Reverse Repo,2013-05,707,Tab.8.27
Secured,Prime Broker,2013-05,858,Tab.8.27
Secured,Other Secured,2013-05,235,Tab.8.27
Secured,Subtotal,2013-05,1800,Tab.8.27
Unsecured,Subtotal,2013-05,5,Tab.8.27
Total,Total,2013-05,1805,Tab.8.27
Secured,Reverse Repo,2013-06,706,Tab.8.27
Secured,Prime Broker,2013-06,838,Tab.8.27
Secured,Other Secured,2013-06,234,Tab.8.27
Secured,Subtotal,2013-06,1778,Tab.8.27
Unsecured,Subtotal,2013-06,5,Tab.8.27
Total,Total,2013-06,1783,Tab.8.27
Secured,Reverse Repo,2013-07,615,Tab.8.27
Secured,Prime Broker,2013-07,818,Tab.8.27
Secured,Other Secured,2013-07,267,Tab.8.27
Secured,Subtotal,2013-07,1700,Tab.8.27
Unsecured,Subtotal,2013-07,5,Tab.8.27
Total,Total,2013-07,1705,Tab.8.27
Secured,Reverse Repo,2013-08,601,Tab.8.27
Secured,Prime Broker,2013-08,806,Tab.8.27
Secured,Other Secured,2013-08,261,Tab.8.27
Secured,Subtotal,2013-08,1668,Tab.8.27
Unsecured,Subtotal,2013-08,5,Tab.8.27
Total,Total,2013-08,1673,Tab.8.27
Secured,Reverse Repo,2013-09,602,Tab.8.27
Secured,Prime Broker,2013-09,846,Tab.8.27
Secured,Other Secured,2013-09,255,Tab.8.27
Secured,Subtotal,2013-09,1703,Tab.8.27
Unsecured,Subtotal,2013-09,7,Tab.8.27
Total,Total,2013-09,1710,Tab.8.27
Secured,Reverse Repo,2013-10,583,Tab.8.27
Secured,Prime Broker,2013-10,858,Tab.8.27
Secured,Other Secured,2013-10,241,Tab.8.27
Secured,Subtotal,2013-10,1682,Tab.8.27
Unsecured,Subtotal,2013-10,5,Tab.8.27
Total,Total,2013-10,1687,Tab.8.27
Secured,Reverse Repo,2013-11,559,Tab.8.27
Secured,Prime Broker,2013-11,898,Tab.8.27
Secured,Other Secured,2013-11,251,Tab.8.27
Secured,Subtotal,2013-11,1708,Tab.8.27
Unsecured,Subtotal,2013-11,6,Tab.8.27
Total,Total,2013-11,1714,Tab.8.27
Secured,Reverse Repo,2013-12,516,Tab.8.27
Secured,Prime Broker,2013-12,927,Tab.8.27
Secured,Other Secured,2013-12,273,Tab.8.27
Secured,Subtotal,2013-12,1716,Tab.8.27
Unsecured,Subtotal,2013-12,7,Tab.8.27
Total,Total,2013-12,1723,Tab.8.27
Secured,Reverse Repo,2014-01,463,Tab.8.27
Secured,Prime Broker,2014-01,964,Tab.8.27
Secured,Other Secured,2014-01,267,Tab.8.27
Secured,Subtotal,2014-01,1693,Tab.8.27
Unsecured,Subtotal,2014-01,9,Tab.8.27
Total,Total,2014-01,1702,Tab.8.27
Secured,Reverse Repo,2014-02,515,Tab.8.27
Secured,Prime Broker,2014-02,997,Tab.8.27
Secured,Other Secured,2014-02,270,Tab.8.27
Secured,Subtotal,2014-02,1783,Tab.8.27
Unsecured,Subtotal,2014-02,10,Tab.8.27
Total,Total,2014-02,1793,Tab.8.27
Secured,Reverse Repo,2014-03,503,Tab.8.27
Secured,Prime Broker,2014-03,997,Tab.8.27
Secured,Other Secured,2014-03,282,Tab.8.27
Secured,Subtotal,2014-03,1782,Tab.8.27
Unsecured,Subtotal,2014-03,10,Tab.8.27
Total,Total,2014-03,1791,Tab.8.27
Secured,Reverse Repo,2014-04,523,Tab.8.27
Secured,Prime Broker,2014-04,926,Tab.8.27
Secured,Other Secured,2014-04,263,Tab.8.27
Secured,Subtotal,2014-04,1712,Tab.8.27
Unsecured,Subtotal,2014-04,11,Tab.8.27
Total,Total,2014-04,1723,Tab.8.27
Secured,Reverse Repo,2014-05,547,Tab.8.27
Secured,Prime Broker,2014-05,940,Tab.8.27
Secured,Other Secured,2014-05,266,Tab.8.27
Secured,Subtotal,2014-05,1753,Tab.8.27
Unsecured,Subtotal,2014-05,10,Tab.8.27
Total,Total,2014-05,1763,Tab.8.27
Secured,Reverse Repo,2014-06,553,Tab.8.27
Secured,Prime Broker,2014-06,992,Tab.8.27
Secured,Other Secured,2014-06,277,Tab.8.27
Secured,Subtotal,2014-06,1822,Tab.8.27
Unsecured,Subtotal,2014-06,11,Tab.8.27
Total,Total,2014-06,1833,Tab.8.27
Secured,Reverse Repo,2014-07,575,Tab.8.27
Secured,Prime Broker,2014-07,1003,Tab.8.27
Secured,Other Secured,2014-07,278,Tab.8.27
Secured,Subtotal,2014-07,1856,Tab.8.27
Unsecured,Subtotal,2014-07,10,Tab.8.27
Total,Total,2014-07,1867,Tab.8.27
Secured,Reverse Repo,2014-08,612,Tab.8.27
Secured,Prime Broker,2014-08,1010,Tab.8.27
Secured,Other Secured,2014-08,293,Tab.8.27
Secured,Subtotal,2014-08,1916,Tab.8.27
Unsecured,Subtotal,2014-08,10,Tab.8.27
Total,Total,2014-08,1925,Tab.8.27
Secured,Reverse Repo,2014-09,587,Tab.8.27
Secured,Prime Broker,2014-09,1027,Tab.8.27
Secured,Other Secured,2014-09,294,Tab.8.27
Secured,Subtotal,2014-09,1908,Tab.8.27
Unsecured,Subtotal,2014-09,11,Tab.8.27
Total,Total,2014-09,1919,Tab.8.27
Secured,Reverse Repo,2014-10,568,Tab.8.27
Secured,Prime Broker,2014-10,1045,Tab.8.27
Secured,Other Secured,2014-10,294,Tab.8.27
Secured,Subtotal,2014-10,1907,Tab.8.27
Unsecured,Subtotal,2014-10,8,Tab.8.27
Total,Total,2014-10,1915,Tab.8.27
Secured,Reverse Repo,2014-11,575,Tab.8.27
Secured,Prime Broker,2014-11,1050,Tab.8.27
Secured,Other Secured,2014-11,282,Tab.8.27
Secured,Subtotal,2014-11,1907,Tab.8.27
Unsecured,Subtotal,2014-11,8,Tab.8.27
Total,Total,2014-11,1915,Tab.8.27
Secured,Reverse Repo,2014-12,566,Tab.8.27
Secured,Prime Broker,2014-12,1038,Tab.8.27
Secured,Other Secured,2014-12,289,Tab.8.27
Secured,Subtotal,2014-12,1893,Tab.8.27
Unsecured,Subtotal,2014-12,9,Tab.8.27
Total,Total,2014-12,1901,Tab.8.27
Secured,Reverse Repo,2015-01,612,Tab.8.27
Secured,Prime Broker,2015-01,1015,Tab.8.27
Secured,Other Secured,2015-01,290,Tab.8.27
Secured,Subtotal,2015-01,1918,Tab.8.27
Unsecured,Subtotal,2015-01,8,Tab.8.27
Total,Total,2015-01,1925,Tab.8.27
Secured,Reverse Repo,2015-02,630,Tab.8.27
Secured,Prime Broker,2015-02,1065,Tab.8.27
