top_n,quarter,nav_share,table,gav_share,borrowing_share,derivative_share
Top 10,2013Q1,0.085,Tab.6.3,0.153,0.335,0.514
Top 10,2013Q2,0.084,Tab.6.3,0.15,0.373,0.443
Top 10,2013Q3,0.083,Tab.6.3,0.142,0.331,0.393
Top 10,2013Q4,0.08,Tab.6.3,0.127,0.293,0.369
Top 10,2014Q1,0.079,Tab.6.3,0.129,0.27,0.346
Top 10,2014Q2,0.08,Tab.6.3,0.129,0.28,0.325
Top 10,2014Q3,0.08,Tab.6.3,0.138,0.297,0.306
Top 10,2014Q4,0.08,Tab.6.3,0.13,0.313,0.294
Top 10,2015Q1,0.084,Tab.6.3,0.146,0.327,0.29
Top 10,2015Q2,0.082,Tab.6.3,0.135,0.314,0.3
Top 10,2015Q3,0.08,Tab.6.3,0.146,0.326,0.305
Top 10,2015Q4,0.079,Tab.6.3,0.134,0.306,0.301
Top 10,2016Q1,0.079,Tab.6.3,0.151,0.327,0.317
Top 10,2016Q2,0.078,Tab.6.3,0.151,0.328,0.347
Top 10,2016Q3,0.079,Tab.6.3,0.144,0.329,0.371
Top 10,2016Q4,0.08,Tab.6.3,0.147,0.316,0.349
Top 10,2017Q1,0.077,Tab.6.3,0.147,0.32,0.343
Top 10,2017Q2,0.077,Tab.6.3,0.15,0.334,0.324
Top 10,2017Q3,0.075,Tab.6.3,0.155,0.35,0.326
Top 10,2017Q4,0.075,Tab.6.3,0.152,0.346,0.326
Top 10,2018Q1,0.073,Tab.6.3,0.155,0.352,0.319
Top 10,2018Q2,0.073,Tab.6.3,0.155,0.346,0.309
Top 10,2018Q3,0.072,Tab.6.3,0.155,0.348,0.305
Top 10,2018Q4,0.074,Tab.6.3,0.168,0.364,0.328
Top 10,2019Q1,0.072,Tab.6.3,0.165,0.362,0.317
Top 10,2019Q2,0.073,Tab.6.3,0.162,0.354,0.292
Top 10,2019Q3,0.074,Tab.6.3,0.154,0.342,0.305
Top 10,2019Q4,0.074,Tab.6.3,0.154,0.356,0.289
Top 10,2020Q1,0.075,Tab.6.3,0.17,0.385,0.34
Top 10,2020Q2,0.075,Tab.6.3,0.149,0.351,0.326
Top 10,2020Q3,0.075,Tab.6.3,0.153,0.347,0.392
Top 10,2020Q4,0.071,Tab.6.3,0.149,0.335,0.407
Top 10,2021Q1,0.071,Tab.6.3,0.141,0.325,0.414
Top 10,2021Q2,0.07,Tab.6.3,0.149,0.318,0.395
Top 10,2021Q3,0.073,Tab.6.3,0.162,0.322,0.408
Top 10,2021Q4,0.073,Tab.6.3,0.162,0.349,0.411
Top 10,2022Q1,0.076,Tab.6.3,0.158,0.343,0.39
Top 10,2022Q2,0.078,Tab.6.3,0.167,0.348,0.391
Top 10,2022Q3,0.081,Tab.6.3,0.169,0.343,0.411
Top 10,2022Q4,0.079,Tab.6.3,0.177,0.369,0.382
Top 10,2023Q1,0.079,Tab.6.3,0.178,0.361,0.413
Top 10,2023Q2,0.078,Tab.6.3,0.19,0.374,0.416
Top 10,2023Q3,0.081,Tab.6.3,0.198,0.378,0.404
Top 10,2023Q4,0.077,Tab.6.3,0.21,0.396,0.417
Top 10,2024Q1,0.08,Tab.6.3,0.2,0.387,0.412
Top 10,2024Q2,0.081,Tab.6.3,0.193,0.368,0.414
Top 10,2024Q3,0.081,Tab.6.3,0.201,0.385,0.417
Top 10,2024Q4,0.082,Tab.6.3,0.201,0.377,0.405
