fund_type,quarter,derivative_value,derivative_pct_nav
Hedge Fund,2013Q1,10336.0,3.957
Hedge Fund,2013Q2,9578.0,3.576
Hedge Fund,2013Q3,8586.0,3.053
Hedge Fund,2013Q4,8783.0,2.869
Hedge Fund,2014Q1,8853.0,2.798
Hedge Fund,2014Q2,9423.0,2.85
Hedge Fund,2014Q3,9863.0,2.935
Hedge Fund,2014Q4,8911.0,2.622
Hedge Fund,2015Q1,9514.0,2.661
Hedge Fund,2015Q2,9028.0,2.518
Hedge Fund,2015Q3,9252.0,2.663
Hedge Fund,2015Q4,8423.0,2.437
Hedge Fund,2016Q1,9128.0,2.682
Hedge Fund,2016Q2,9305.0,2.713
Hedge Fund,2016Q3,9340.0,2.677
Hedge Fund,2016Q4,9139.0,2.624
Hedge Fund,2017Q1,10179.0,2.828
Hedge Fund,2017Q2,10096.0,2.761
Hedge Fund,2017Q3,11364.0,3.007
Hedge Fund,2017Q4,12132.0,3.125
Hedge Fund,2018Q1,14206.0,3.577
Hedge Fund,2018Q2,13378.0,3.344
Hedge Fund,2018Q3,13564.0,3.343
Hedge Fund,2018Q4,12646.0,3.335
Hedge Fund,2019Q1,14151.0,3.535
Hedge Fund,2019Q2,13066.0,3.196
Hedge Fund,2019Q3,13564.0,3.338
Hedge Fund,2019Q4,12766.0,3.089
Hedge Fund,2020Q1,11973.0,3.166
Hedge Fund,2020Q2,11044.0,2.701
Hedge Fund,2020Q3,13741.0,3.196
Hedge Fund,2020Q4,14158.0,3.036
Hedge Fund,2021Q1,15227.0,3.165
Hedge Fund,2021Q2,16250.0,3.168
Hedge Fund,2021Q3,15855.0,3.101
Hedge Fund,2021Q4,15492.0,3.019
Hedge Fund,2022Q1,15596.0,3.029
Hedge Fund,2022Q2,14510.0,2.953
Hedge Fund,2022Q3,13747.0,2.834
Hedge Fund,2022Q4,14431.0,2.996
Hedge Fund,2023Q1,14726.0,3.031
Hedge Fund,2023Q2,14944.0,3.04
Hedge Fund,2023Q3,15232.0,3.086
Hedge Fund,2023Q4,15154.0,3.03
Hedge Fund,2024Q1,16680.0,3.194
Hedge Fund,2024Q2,17472.0,3.344
Hedge Fund,2024Q3,19261.0,3.57
Hedge Fund,2024Q4,17967.0,3.374
Hedge Fund,2025Q1,20240.0,3.735
Liquidity Fund,2013Q1,,
Liquidity Fund,2013Q2,,
Liquidity Fund,2013Q3,,
Liquidity Fund,2013Q4,0.0,
Liquidity Fund,2014Q1,0.0,
Liquidity Fund,2014Q2,0.0,
Liquidity Fund,2014Q3,0.0,
Liquidity Fund,2014Q4,,
Liquidity Fund,2015Q1,,
Liquidity Fund,2015Q2,,
Liquidity Fund,2015Q3,,
Liquidity Fund,2015Q4,,
Liquidity Fund,2016Q1,,
Liquidity Fund,2016Q2,,
Liquidity Fund,2016Q3,,
Liquidity Fund,2016Q4,,
Liquidity Fund,2017Q1,,
Liquidity Fund,2017Q2,,
Liquidity Fund,2017Q3,,
Liquidity Fund,2017Q4,,
Liquidity Fund,2018Q1,,
Liquidity Fund,2018Q2,,
Liquidity Fund,2018Q3,,
Liquidity Fund,2018Q4,,
Liquidity Fund,2019Q1,,
Liquidity Fund,2019Q2,,
Liquidity Fund,2019Q3,,
Liquidity Fund,2019Q4,,
Liquidity Fund,2020Q1,,
Liquidity Fund,2020Q2,,
Liquidity Fund,2020Q3,,
Liquidity Fund,2020Q4,,
Liquidity Fund,2021Q1,,
Liquidity Fund,2021Q2,,
Liquidity Fund,2021Q3,,
Liquidity Fund,2021Q4,,
Liquidity Fund,2022Q1,,
Liquidity Fund,2022Q2,,
Liquidity Fund,2022Q3,,
Liquidity Fund,2022Q4,,
Liquidity Fund,2023Q1,,
Liquidity Fund,2023Q2,,
Liquidity Fund,2023Q3,,
Liquidity Fund,2023Q4,,
Liquidity Fund,2024Q1,,
Liquidity Fund,2024Q2,,
Liquidity Fund,2024Q3,,
Liquidity Fund,2024Q4,,
Liquidity Fund,2025Q1,,
Other Private Fund,2013Q1,77.0,0.124
Other Private Fund,2013Q2,80.0,0.122
Other Private Fund,2013Q3,77.0,0.117
Other Private Fund,2013Q4,91.0,0.111
Other Private Fund,2014Q1,91.0,0.111
Other Private Fund,2014Q2,101.0,0.122
Other Private Fund,2014Q3,83.0,0.102
Other Private Fund,2014Q4,110.0,0.125
Other Private Fund,2015Q1,102.0,0.116
Other Private Fund,2015Q2,105.0,0.12
Other Private Fund,2015Q3,104.0,0.12
Other Private Fund,2015Q4,100.0,0.114
Other Private Fund,2016Q1,98.0,0.112
Other Private Fund,2016Q2,96.0,0.11
Other Private Fund,2016Q3,97.0,0.111
Other Private Fund,2016Q4,112.0,0.115
Other Private Fund,2017Q1,109.0,0.11
Other Private Fund,2017Q2,108.0,0.109
Other Private Fund,2017Q3,109.0,0.112
Other Private Fund,2017Q4,148.0,0.137
Other Private Fund,2018Q1,149.0,0.137
Other Private Fund,2018Q2,148.0,0.134
Other Private Fund,2018Q3,134.0,0.123
Other Private Fund,2018Q4,132.0,0.12
Other Private Fund,2019Q1,131.0,0.119
Other Private Fund,2019Q2,134.0,0.123
Other Private Fund,2019Q3,135.0,0.122
Other Private Fund,2019Q4,111.0,0.09
Other Private Fund,2020Q1,109.0,0.09
Other Private Fund,2020Q2,109.0,0.089
Other Private Fund,2020Q3,106.0,0.087
Other Private Fund,2020Q4,134.0,0.103
Other Private Fund,2021Q1,138.0,0.105
Other Private Fund,2021Q2,134.0,0.1
Other Private Fund,2021Q3,133.0,0.104
Other Private Fund,2021Q4,118.0,0.076
Other Private Fund,2022Q1,110.0,0.07
Other Private Fund,2022Q2,110.0,0.071
Other Private Fund,2022Q3,112.0,0.073
Other Private Fund,2022Q4,105.0,0.074
Other Private Fund,2023Q1,103.0,0.075
Other Private Fund,2023Q2,104.0,0.078
Other Private Fund,2023Q3,101.0,0.076
Other Private Fund,2023Q4,99.0,0.064
Other Private Fund,2024Q1,97.0,0.063
Other Private Fund,2024Q2,97.0,0.063
Other Private Fund,2024Q3,97.0,0.062
Other Private Fund,2024Q4,161.0,0.098
Other Private Fund,2025Q1,161.0,0.099
Private Equity Fund,2013Q1,49.0,0.033
Private Equity Fund,2013Q2,49.0,0.033
Private Equity Fund,2013Q3,49.0,0.033
Private Equity Fund,2013Q4,48.0,0.028
Private Equity Fund,2014Q1,45.0,0.026
Private Equity Fund,2014Q2,43.0,0.025
Private Equity Fund,2014Q3,44.0,0.026
Private Equity Fund,2014Q4,66.0,0.037
Private Equity Fund,2015Q1,69.0,0.039
Private Equity Fund,2015Q2,71.0,0.04
Private Equity Fund,2015Q3,73.0,0.043
Private Equity Fund,2015Q4,54.0,0.029
Private Equity Fund,2016Q1,54.0,0.028
Private Equity Fund,2016Q2,54.0,0.028
Private Equity Fund,2016Q3,53.0,0.028
Private Equity Fund,2016Q4,38.0,0.018
Private Equity Fund,2017Q1,38.0,0.018
Private Equity Fund,2017Q2,38.0,0.018
Private Equity Fund,2017Q3,38.0,0.018
Private Equity Fund,2017Q4,39.0,0.016
Private Equity Fund,2018Q1,40.0,0.016
Private Equity Fund,2018Q2,40.0,0.016
Private Equity Fund,2018Q3,40.0,0.016
Private Equity Fund,2018Q4,38.0,0.013
Private Equity Fund,2019Q1,37.0,0.013
Private Equity Fund,2019Q2,37.0,0.013
Private Equity Fund,2019Q3,37.0,0.013
Private Equity Fund,2019Q4,95.0,0.029
Private Equity Fund,2020Q1,96.0,0.029
Private Equity Fund,2020Q2,96.0,0.029
Private Equity Fund,2020Q3,97.0,0.029
Private Equity Fund,2020Q4,66.0,0.016
Private Equity Fund,2021Q1,66.0,0.015
Private Equity Fund,2021Q2,66.0,0.016
Private Equity Fund,2021Q3,66.0,0.015
Private Equity Fund,2021Q4,70.0,0.012
Private Equity Fund,2022Q1,69.0,0.012
Private Equity Fund,2022Q2,69.0,0.012
Private Equity Fund,2022Q3,71.0,0.012
Private Equity Fund,2022Q4,158.0,0.026
Private Equity Fund,2023Q1,159.0,0.027
Private Equity Fund,2023Q2,159.0,0.027
Private Equity Fund,2023Q3,159.0,0.027
Private Equity Fund,2023Q4,136.0,0.02
Private Equity Fund,2024Q1,109.0,0.016
Private Equity Fund,2024Q2,109.0,0.016
