fund_type,quarter,count
Private Equity Fund,2013Q1,6891
Hedge Fund,2013Q1,7498
Other Private Fund,2013Q1,3396
Real Estate Fund,2013Q1,1379
Venture Capital Fund,2013Q1,369
Securitized Asset Fund,2013Q1,982
Liquidity Fund,2013Q1,74
Total,2013Q1,20589
Private Equity Fund,2013Q2,6953
Hedge Fund,2013Q2,7668
Other Private Fund,2013Q2,3480
Real Estate Fund,2013Q2,1378
Venture Capital Fund,2013Q2,369
Securitized Asset Fund,2013Q2,987
Liquidity Fund,2013Q2,74
Total,2013Q2,20909
Private Equity Fund,2013Q3,7058
Hedge Fund,2013Q3,7884
Other Private Fund,2013Q3,3525
Real Estate Fund,2013Q3,1403
Venture Capital Fund,2013Q3,379
Securitized Asset Fund,2013Q3,1012
Liquidity Fund,2013Q3,74
Total,2013Q3,21335
Private Equity Fund,2013Q4,7618
Hedge Fund,2013Q4,8395
Other Private Fund,2013Q4,3679
Real Estate Fund,2013Q4,1555
Venture Capital Fund,2013Q4,435
Securitized Asset Fund,2013Q4,1172
Liquidity Fund,2013Q4,71
Total,2013Q4,22925
Private Equity Fund,2014Q1,7647
Hedge Fund,2014Q1,8491
Other Private Fund,2014Q1,3705
Real Estate Fund,2014Q1,1555
Venture Capital Fund,2014Q1,435
Securitized Asset Fund,2014Q1,1191
Liquidity Fund,2014Q1,71
Total,2014Q1,23095
Private Equity Fund,2014Q2,7655
Hedge Fund,2014Q2,8587
Other Private Fund,2014Q2,3707
Real Estate Fund,2014Q2,1554
Venture Capital Fund,2014Q2,435
Securitized Asset Fund,2014Q2,1208
Liquidity Fund,2014Q2,69
Total,2014Q2,23215
Private Equity Fund,2014Q3,7622
Hedge Fund,2014Q3,8672
Other Private Fund,2014Q3,3664
Real Estate Fund,2014Q3,1543
Venture Capital Fund,2014Q3,438
Securitized Asset Fund,2014Q3,1195
Liquidity Fund,2014Q3,68
Total,2014Q3,23202
Private Equity Fund,2014Q4,8260
Hedge Fund,2014Q4,8687
