fund_type,quarter,gav,nav,gav_nav_ratio
Hedge Fund,2013Q1,4780,2612,1.8300153139356814
Hedge Fund,2013Q2,4938,2678,1.843913368185213
Hedge Fund,2013Q3,5101,2812,1.8140113798008535
Hedge Fund,2013Q4,5375,3061,1.7559621038876185
Hedge Fund,2014Q1,5658,3164,1.7882427307206068
Hedge Fund,2014Q2,5886,3306,1.780399274047187
Hedge Fund,2014Q3,6111,3361,1.818208866408807
Hedge Fund,2014Q4,6020,3399,1.7711091497499265
Hedge Fund,2015Q1,6425,3576,1.7967002237136465
Hedge Fund,2015Q2,6344,3585,1.7695955369595537
Hedge Fund,2015Q3,6238,3474,1.7956246401842257
Hedge Fund,2015Q4,6078,3456,1.7586805555555556
Hedge Fund,2016Q1,6157,3403,1.8092859241845431
Hedge Fund,2016Q2,6319,3430,1.842274052478134
Hedge Fund,2016Q3,6458,3490,1.850429799426934
Hedge Fund,2016Q4,6390,3482,1.8351522113727743
Hedge Fund,2017Q1,6700,3600,1.8611111111111112
Hedge Fund,2017Q2,6817,3657,1.8640962537599124
Hedge Fund,2017Q3,7177,3779,1.8991796771632707
Hedge Fund,2017Q4,7233,3882,1.8632148377125193
Hedge Fund,2018Q1,7509,3972,1.8904833836858006
Hedge Fund,2018Q2,7647,4001,1.9112721819545113
Hedge Fund,2018Q3,7899,4057,1.9470051762386
Hedge Fund,2018Q4,7582,3792,1.9994725738396624
Hedge Fund,2019Q1,8040,4003,2.0084936297776665
Hedge Fund,2019Q2,8240,4089,2.0151626314502322
Hedge Fund,2019Q3,8085,4063,1.9899089342850111
Hedge Fund,2019Q4,8163,4133,1.9750786353738206
Hedge Fund,2020Q1,7742,3782,2.047065044949762
Hedge Fund,2020Q2,7768,4089,1.8997309855710443
Hedge Fund,2020Q3,8197,4299,1.9067224936031635
Hedge Fund,2020Q4,8766,4663,1.879905640145829
Hedge Fund,2021Q1,8906,4811,1.8511743920182915
Hedge Fund,2021Q2,9566,5130,1.8647173489278752
Hedge Fund,2021Q3,9768,5112,1.9107981220657277
Hedge Fund,2021Q4,9746,5132,1.8990646921278254
Hedge Fund,2022Q1,9760,5149,1.895513691979025
Hedge Fund,2022Q2,9417,4913,1.9167514756767758
Hedge Fund,2022Q3,9254,4850,1.9080412371134021
Hedge Fund,2022Q4,9356,4817,1.9422877309528752
Hedge Fund,2023Q1,9491,4859,1.9532825684297181
Hedge Fund,2023Q2,9896,4915,2.0134282807731436
Hedge Fund,2023Q3,10196,4936,2.065640194489465
Hedge Fund,2023Q4,10696,5001,2.1387722455508897
Hedge Fund,2024Q1,11046,5223,2.1148765077541642
Hedge Fund,2024Q2,11239,5224,2.151416539050536
Hedge Fund,2024Q3,12152,5395,2.2524559777571826
Hedge Fund,2024Q4,11946,5325,2.2433802816901407
Hedge Fund,2025Q1,12590,5419,2.3233068831887804
Liquidity Fund,2013Q1,258,256,1.0078125
Liquidity Fund,2013Q2,257,255,1.007843137254902
Liquidity Fund,2013Q3,249,247,1.008097165991903
Liquidity Fund,2013Q4,248,246,1.008130081300813
Liquidity Fund,2014Q1,250,249,1.0040160642570282
Liquidity Fund,2014Q2,274,273,1.0036630036630036
Liquidity Fund,2014Q3,285,282,1.0106382978723405
Liquidity Fund,2014Q4,273,272,1.0036764705882353
Liquidity Fund,2015Q1,289,286,1.0104895104895104
Liquidity Fund,2015Q2,265,264,1.003787878787879
Liquidity Fund,2015Q3,274,274,1.0
Liquidity Fund,2015Q4,286,285,1.0035087719298246
Liquidity Fund,2016Q1,273,272,1.0036764705882353
Liquidity Fund,2016Q2,288,286,1.006993006993007
Liquidity Fund,2016Q3,292,291,1.0034364261168385
Liquidity Fund,2016Q4,294,293,1.0034129692832765
Liquidity Fund,2017Q1,283,281,1.00711743772242
Liquidity Fund,2017Q2,277,276,1.0036231884057971
Liquidity Fund,2017Q3,283,281,1.00711743772242
Liquidity Fund,2017Q4,293,292,1.0034246575342465
Liquidity Fund,2018Q1,292,290,1.006896551724138
Liquidity Fund,2018Q2,312,311,1.0032154340836013
Liquidity Fund,2018Q3,315,312,1.0096153846153846
Liquidity Fund,2018Q4,298,296,1.0067567567567568
Liquidity Fund,2019Q1,294,289,1.0173010380622838
Liquidity Fund,2019Q2,295,293,1.006825938566553
Liquidity Fund,2019Q3,301,299,1.0066889632107023
Liquidity Fund,2019Q4,296,293,1.0102389078498293
Liquidity Fund,2020Q1,301,297,1.0134680134680134
Liquidity Fund,2020Q2,309,303,1.0198019801980198
Liquidity Fund,2020Q3,329,323,1.0185758513931888
Liquidity Fund,2020Q4,326,322,1.0124223602484472
Liquidity Fund,2021Q1,314,304,1.0328947368421053
Liquidity Fund,2021Q2,330,319,1.0344827586206897
Liquidity Fund,2021Q3,310,302,1.0264900662251655
Liquidity Fund,2021Q4,318,313,1.0159744408945688
Liquidity Fund,2022Q1,318,313,1.0159744408945688
Liquidity Fund,2022Q2,335,328,1.021341463414634
Liquidity Fund,2022Q3,336,333,1.009009009009009
Liquidity Fund,2022Q4,323,320,1.009375
Liquidity Fund,2023Q1,321,314,1.0222929936305734
Liquidity Fund,2023Q2,333,321,1.0373831775700935
Liquidity Fund,2023Q3,362,348,1.0402298850574712
Liquidity Fund,2023Q4,362,353,1.0254957507082152
Liquidity Fund,2024Q1,340,333,1.021021021021021
Liquidity Fund,2024Q2,353,343,1.0291545189504374
Liquidity Fund,2024Q3,381,369,1.032520325203252
Liquidity Fund,2024Q4,369,358,1.0307262569832403
Liquidity Fund,2025Q1,384,374,1.0267379679144386
Other Private Fund,2013Q1,724,620,1.167741935483871
Other Private Fund,2013Q2,756,651,1.1612903225806452
Other Private Fund,2013Q3,766,661,1.1588502269288956
Other Private Fund,2013Q4,938,817,1.1481028151774786
Other Private Fund,2014Q1,944,816,1.1568627450980393
Other Private Fund,2014Q2,952,824,1.1553398058252426
Other Private Fund,2014Q3,939,808,1.1621287128712872
Other Private Fund,2014Q4,986,873,1.129438717067583
Other Private Fund,2015Q1,977,876,1.115296803652968
Other Private Fund,2015Q2,982,878,1.1184510250569477
Other Private Fund,2015Q3,971,868,1.118663594470046
Other Private Fund,2015Q4,973,872,1.1158256880733946
Other Private Fund,2016Q1,969,869,1.1150747986191025
Other Private Fund,2016Q2,975,874,1.1155606407322654
Other Private Fund,2016Q3,978,879,1.1126279863481228
Other Private Fund,2016Q4,1067,979,1.0898876404494382
Other Private Fund,2017Q1,1077,988,1.0900809716599191
Other Private Fund,2017Q2,1089,995,1.0944723618090453
Other Private Fund,2017Q3,1061,972,1.0915637860082306
Other Private Fund,2017Q4,1191,1075,1.107906976744186
Other Private Fund,2018Q1,1206,1086,1.1104972375690607
Other Private Fund,2018Q2,1209,1107,1.0921409214092141
Other Private Fund,2018Q3,1223,1097,1.1148587055606198
Other Private Fund,2018Q4,1247,1107,1.1264679313459802
Other Private Fund,2019Q1,1243,1104,1.1259057971014492
Other Private Fund,2019Q2,1235,1093,1.129917657822507
Other Private Fund,2019Q3,1249,1108,1.1272563176895307
Other Private Fund,2019Q4,1397,1233,1.1330089213300891
Other Private Fund,2020Q1,1368,1204,1.1362126245847175
Other Private Fund,2020Q2,1383,1216,1.1373355263157894
Other Private Fund,2020Q3,1392,1229,1.1326281529698943
Other Private Fund,2020Q4,1477,1300,1.136153846153846
Other Private Fund,2021Q1,1496,1318,1.1350531107739
Other Private Fund,2021Q2,1509,1341,1.1252796420581654
Other Private Fund,2021Q3,1438,1274,1.1287284144427001
Other Private Fund,2021Q4,1748,1559,1.121231558691469
Other Private Fund,2022Q1,1766,1582,1.116308470290771
Other Private Fund,2022Q2,1740,1558,1.116816431322208
Other Private Fund,2022Q3,1716,1534,1.11864406779661
Other Private Fund,2022Q4,1647,1417,1.1623147494707127
Other Private Fund,2023Q1,1605,1373,1.1689730517115804
Other Private Fund,2023Q2,1578,1346,1.1723625557206538
Other Private Fund,2023Q3,1570,1339,1.1725168035847648
Other Private Fund,2023Q4,1734,1543,1.1237848347375243
Other Private Fund,2024Q1,1737,1542,1.1264591439688716
Other Private Fund,2024Q2,1744,1553,1.1229877656149387
Other Private Fund,2024Q3,1755,1561,1.1242793081358105
Other Private Fund,2024Q4,1877,1645,1.141033434650456
Other Private Fund,2025Q1,1862,1632,1.1409313725490196
Private Equity Fund,2013Q1,1605,1472,1.0903532608695652
Private Equity Fund,2013Q2,1616,1480,1.0918918918918918
Private Equity Fund,2013Q3,1630,1495,1.0903010033444815
Private Equity Fund,2013Q4,1848,1708,1.0819672131147542
Private Equity Fund,2014Q1,1842,1701,1.0828924162257496
Private Equity Fund,2014Q2,1840,1698,1.083627797408716
Private Equity Fund,2014Q3,1833,1690,1.0846153846153845
Private Equity Fund,2014Q4,1896,1753,1.0815744438106103
Private Equity Fund,2015Q1,1889,1748,1.0806636155606408
Private Equity Fund,2015Q2,1891,1749,1.0811892510005718
Private Equity Fund,2015Q3,1851,1711,1.081823495032145
Private Equity Fund,2015Q4,2060,1885,1.0928381962864722
Private Equity Fund,2016Q1,2060,1884,1.0934182590233545
Private Equity Fund,2016Q2,2063,1886,1.0938494167550372
Private Equity Fund,2016Q3,2064,1887,1.0937996820349762
Private Equity Fund,2016Q4,2318,2075,1.1171084337349397
Private Equity Fund,2017Q1,2327,2084,1.1166026871401151
Private Equity Fund,2017Q2,2324,2082,1.1162343900096061
Private Equity Fund,2017Q3,2310,2069,1.1164813919768004
Private Equity Fund,2017Q4,2728,2442,1.117117117117117
Private Equity Fund,2018Q1,2766,2484,1.1135265700483092
Private Equity Fund,2018Q2,2769,2488,1.1129421221864952
Private Equity Fund,2018Q3,2769,2488,1.1129421221864952
Private Equity Fund,2018Q4,3178,2816,1.1285511363636365
Private Equity Fund,2019Q1,3262,2898,1.1256038647342994
Private Equity Fund,2019Q2,3261,2898,1.1252587991718426
Private Equity Fund,2019Q3,3261,2896,1.1260359116022098
Private Equity Fund,2019Q4,3737,3306,1.1303690260133092
Private Equity Fund,2020Q1,3812,3375,1.1294814814814815
Private Equity Fund,2020Q2,3810,3375,1.1288888888888888
Private Equity Fund,2020Q3,3812,3375,1.1294814814814815
Private Equity Fund,2020Q4,4720,4168,1.1324376199616122
Private Equity Fund,2021Q1,4828,4271,1.1304144228517912
Private Equity Fund,2021Q2,4831,4275,1.1300584795321638
Private Equity Fund,2021Q3,4831,4276,1.1297942001870906
Private Equity Fund,2021Q4,6420,5757,1.1151641479937466
Private Equity Fund,2022Q1,6396,5740,1.1142857142857143
Private Equity Fund,2022Q2,6408,5749,1.1146286310662723
Private Equity Fund,2022Q3,6414,5753,1.114896575699635
Private Equity Fund,2022Q4,6719,6035,1.1133388566694284
Private Equity Fund,2023Q1,6654,5978,1.1130812980930076
Private Equity Fund,2023Q2,6665,5989,1.1128736016029388
Private Equity Fund,2023Q3,6672,5997,1.1125562781390694
Private Equity Fund,2023Q4,7414,6744,1.099347568208778
Private Equity Fund,2024Q1,7435,6763,1.0993641874907585
Private Equity Fund,2024Q2,7426,6755,1.0993338267949666
Private Equity Fund,2024Q3,7419,6748,1.0994368701837582
Private Equity Fund,2024Q4,7951,7289,1.0908217862532583
Private Equity Fund,2025Q1,7941,7278,1.0910964550700741
Real Estate Fund,2013Q1,301,236,1.2754237288135593
Real Estate Fund,2013Q2,301,236,1.2754237288135593
Real Estate Fund,2013Q3,303,238,1.273109243697479
Real Estate Fund,2013Q4,337,268,1.257462686567164
Real Estate Fund,2014Q1,337,268,1.257462686567164
Real Estate Fund,2014Q2,337,268,1.257462686567164
Real Estate Fund,2014Q3,337,267,1.2621722846441947
Real Estate Fund,2014Q4,356,283,1.2579505300353357
Real Estate Fund,2015Q1,356,283,1.2579505300353357
Real Estate Fund,2015Q2,356,283,1.2579505300353357
Real Estate Fund,2015Q3,357,284,1.2570422535211268
Real Estate Fund,2015Q4,408,324,1.2592592592592593
Real Estate Fund,2016Q1,410,326,1.2576687116564418
Real Estate Fund,2016Q2,410,326,1.2576687116564418
Real Estate Fund,2016Q3,411,327,1.2568807339449541
Real Estate Fund,2016Q4,437,342,1.2777777777777777
Real Estate Fund,2017Q1,438,343,1.2769679300291545
Real Estate Fund,2017Q2,434,341,1.2727272727272727
Real Estate Fund,2017Q3,433,340,1.2735294117647058
Real Estate Fund,2017Q4,501,392,1.278061224489796
Real Estate Fund,2018Q1,505,395,1.2784810126582278
Real Estate Fund,2018Q2,505,395,1.2784810126582278
Real Estate Fund,2018Q3,505,394,1.281725888324873
Real Estate Fund,2018Q4,573,446,1.2847533632286996
Real Estate Fund,2019Q1,575,448,1.2834821428571428
Real Estate Fund,2019Q2,575,448,1.2834821428571428
Real Estate Fund,2019Q3,575,448,1.2834821428571428
Real Estate Fund,2019Q4,662,504,1.3134920634920635
Real Estate Fund,2020Q1,666,507,1.3136094674556213
Real Estate Fund,2020Q2,666,507,1.3136094674556213
Real Estate Fund,2020Q3,667,507,1.3155818540433926
Real Estate Fund,2020Q4,812,616,1.3181818181818181
Real Estate Fund,2021Q1,811,614,1.3208469055374592
