fund_universe,country,quarter,share,table
All Private Funds,United States,2013Q1,0.501,Tab.3.1
All Private Funds,Cayman Islands,2013Q1,0.369,Tab.3.1
All Private Funds,Luxembourg,2013Q1,0.01,Tab.3.1
All Private Funds,Ireland,2013Q1,0.045,Tab.3.1
All Private Funds,Bermuda,2013Q1,0.012,Tab.3.1
All Private Funds,United Kingdom,2013Q1,0.012,Tab.3.1
All Private Funds,"Virgin Islands, British",2013Q1,0.027,Tab.3.1
All Private Funds,Other,2013Q1,0.024,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2013Q1,0.538,Tab.3.1
Qualifying Hedge Funds,United States,2013Q1,0.33,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2013Q1,0.017,Tab.3.1
Qualifying Hedge Funds,Ireland,2013Q1,0.016,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2013Q1,0.063,Tab.3.1
Qualifying Hedge Funds,Bermuda,2013Q1,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2013Q1,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2013Q1,0.326,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2013Q1,0.08,Tab.3.1
Section 4 Private Equity Funds,United States,2013Q1,0.665,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2013Q1,0.283,Tab.3.1
Section 4 Private Equity Funds,Canada,2013Q1,,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2013Q1,0.016,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2013Q1,,Tab.3.1
Section 4 Private Equity Funds,Other,2013Q1,0.016,Tab.3.1
All Private Funds,United States,2013Q2,0.496,Tab.3.1
All Private Funds,Cayman Islands,2013Q2,0.371,Tab.3.1
All Private Funds,Luxembourg,2013Q2,0.011,Tab.3.1
All Private Funds,Ireland,2013Q2,0.044,Tab.3.1
All Private Funds,Bermuda,2013Q2,0.012,Tab.3.1
All Private Funds,United Kingdom,2013Q2,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2013Q2,0.028,Tab.3.1
All Private Funds,Other,2013Q2,0.027,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2013Q2,0.533,Tab.3.1
Qualifying Hedge Funds,United States,2013Q2,0.324,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2013Q2,0.017,Tab.3.1
Qualifying Hedge Funds,Ireland,2013Q2,0.018,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2013Q2,0.063,Tab.3.1
Qualifying Hedge Funds,Bermuda,2013Q2,0.018,Tab.3.1
