exposure,ratio_bucket,month,fund_count,exposure_type
Including IRDs,"(0,1.5)",2013-01,624,GNE
Including IRDs,"[1.5,3)",2013-01,824,GNE
Including IRDs,"[3,5)",2013-01,277,GNE
Including IRDs,"[5,10)",2013-01,242,GNE
Including IRDs,10 or more,2013-01,258,GNE
Excluding IRDs,"(0,1.5)",2013-01,896,GNE
Excluding IRDs,"[1.5,3)",2013-01,747,GNE
Excluding IRDs,"[3,5)",2013-01,260,GNE
Excluding IRDs,"[5,10)",2013-01,226,GNE
Excluding IRDs,10 or more,2013-01,97,GNE
Including IRDs,"(0,1.5)",2013-02,623,GNE
Including IRDs,"[1.5,3)",2013-02,791,GNE
Including IRDs,"[3,5)",2013-02,268,GNE
Including IRDs,"[5,10)",2013-02,264,GNE
Including IRDs,10 or more,2013-02,281,GNE
Excluding IRDs,"(0,1.5)",2013-02,873,GNE
Excluding IRDs,"[1.5,3)",2013-02,775,GNE
Excluding IRDs,"[3,5)",2013-02,239,GNE
Excluding IRDs,"[5,10)",2013-02,242,GNE
Excluding IRDs,10 or more,2013-02,97,GNE
Including IRDs,"(0,1.5)",2013-03,603,GNE
Including IRDs,"[1.5,3)",2013-03,806,GNE
Including IRDs,"[3,5)",2013-03,337,GNE
Including IRDs,"[5,10)",2013-03,216,GNE
Including IRDs,10 or more,2013-03,274,GNE
Excluding IRDs,"(0,1.5)",2013-03,794,GNE
Excluding IRDs,"[1.5,3)",2013-03,839,GNE
Excluding IRDs,"[3,5)",2013-03,269,GNE
Excluding IRDs,"[5,10)",2013-03,220,GNE
Excluding IRDs,10 or more,2013-03,116,GNE
Including IRDs,"(0,1.5)",2013-04,642,GNE
Including IRDs,"[1.5,3)",2013-04,768,GNE
Including IRDs,"[3,5)",2013-04,338,GNE
Including IRDs,"[5,10)",2013-04,263,GNE
Including IRDs,10 or more,2013-04,275,GNE
Excluding IRDs,"(0,1.5)",2013-04,857,GNE
Excluding IRDs,"[1.5,3)",2013-04,791,GNE
Excluding IRDs,"[3,5)",2013-04,300,GNE
Excluding IRDs,"[5,10)",2013-04,206,GNE
Excluding IRDs,10 or more,2013-04,132,GNE
Including IRDs,"(0,1.5)",2013-05,603,GNE
Including IRDs,"[1.5,3)",2013-05,760,GNE
Including IRDs,"[3,5)",2013-05,315,GNE
Including IRDs,"[5,10)",2013-05,317,GNE
Including IRDs,10 or more,2013-05,291,GNE
Excluding IRDs,"(0,1.5)",2013-05,878,GNE
Excluding IRDs,"[1.5,3)",2013-05,781,GNE
Excluding IRDs,"[3,5)",2013-05,301,GNE
Excluding IRDs,"[5,10)",2013-05,224,GNE
Excluding IRDs,10 or more,2013-05,103,GNE
Including IRDs,"(0,1.5)",2013-06,624,GNE
Including IRDs,"[1.5,3)",2013-06,790,GNE
Including IRDs,"[3,5)",2013-06,349,GNE
Including IRDs,"[5,10)",2013-06,274,GNE
Including IRDs,10 or more,2013-06,251,GNE
Excluding IRDs,"(0,1.5)",2013-06,890,GNE
Excluding IRDs,"[1.5,3)",2013-06,808,GNE
Excluding IRDs,"[3,5)",2013-06,288,GNE
Excluding IRDs,"[5,10)",2013-06,202,GNE
Excluding IRDs,10 or more,2013-06,100,GNE
Including IRDs,"(0,1.5)",2013-07,707,GNE
Including IRDs,"[1.5,3)",2013-07,812,GNE
Including IRDs,"[3,5)",2013-07,286,GNE
Including IRDs,"[5,10)",2013-07,314,GNE
Including IRDs,10 or more,2013-07,270,GNE
Excluding IRDs,"(0,1.5)",2013-07,978,GNE
Excluding IRDs,"[1.5,3)",2013-07,747,GNE
Excluding IRDs,"[3,5)",2013-07,346,GNE
Excluding IRDs,"[5,10)",2013-07,207,GNE
Excluding IRDs,10 or more,2013-07,112,GNE
Including IRDs,"(0,1.5)",2013-08,705,GNE
Including IRDs,"[1.5,3)",2013-08,811,GNE
Including IRDs,"[3,5)",2013-08,290,GNE
Including IRDs,"[5,10)",2013-08,298,GNE
Including IRDs,10 or more,2013-08,286,GNE
Excluding IRDs,"(0,1.5)",2013-08,1002,GNE
Excluding IRDs,"[1.5,3)",2013-08,721,GNE
Excluding IRDs,"[3,5)",2013-08,371,GNE
Excluding IRDs,"[5,10)",2013-08,184,GNE
Excluding IRDs,10 or more,2013-08,112,GNE
Including IRDs,"(0,1.5)",2013-09,752,GNE
Including IRDs,"[1.5,3)",2013-09,777,GNE
Including IRDs,"[3,5)",2013-09,292,GNE
Including IRDs,"[5,10)",2013-09,295,GNE
Including IRDs,10 or more,2013-09,274,GNE
Excluding IRDs,"(0,1.5)",2013-09,955,GNE
Excluding IRDs,"[1.5,3)",2013-09,750,GNE
Excluding IRDs,"[3,5)",2013-09,353,GNE
Excluding IRDs,"[5,10)",2013-09,217,GNE
Excluding IRDs,10 or more,2013-09,116,GNE
Including IRDs,"(0,1.5)",2013-10,743,GNE
Including IRDs,"[1.5,3)",2013-10,851,GNE
Including IRDs,"[3,5)",2013-10,363,GNE
Including IRDs,"[5,10)",2013-10,313,GNE
Including IRDs,10 or more,2013-10,290,GNE
Excluding IRDs,"(0,1.5)",2013-10,1042,GNE
Excluding IRDs,"[1.5,3)",2013-10,791,GNE
Excluding IRDs,"[3,5)",2013-10,377,GNE
Excluding IRDs,"[5,10)",2013-10,190,GNE
Excluding IRDs,10 or more,2013-10,161,GNE
Including IRDs,"(0,1.5)",2013-11,719,GNE
Including IRDs,"[1.5,3)",2013-11,861,GNE
Including IRDs,"[3,5)",2013-11,365,GNE
Including IRDs,"[5,10)",2013-11,311,GNE
Including IRDs,10 or more,2013-11,329,GNE
Excluding IRDs,"(0,1.5)",2013-11,1025,GNE
Excluding IRDs,"[1.5,3)",2013-11,815,GNE
Excluding IRDs,"[3,5)",2013-11,349,GNE
Excluding IRDs,"[5,10)",2013-11,246,GNE
Excluding IRDs,10 or more,2013-11,152,GNE
Including IRDs,"(0,1.5)",2013-12,723,GNE
Including IRDs,"[1.5,3)",2013-12,852,GNE
Including IRDs,"[3,5)",2013-12,434,GNE
Including IRDs,"[5,10)",2013-12,285,GNE
Including IRDs,10 or more,2013-12,292,GNE
