period,quarter,cumulative_pct,liquidity_type
At most 1 day,2013Q1,0.062,investor_liquidity
At most 7 days,2013Q1,0.085,investor_liquidity
At most 30 days,2013Q1,0.237,investor_liquidity
At most 90 days,2013Q1,0.436,investor_liquidity
At most 180 days,2013Q1,0.579,investor_liquidity
At most 365 days,2013Q1,0.753,investor_liquidity
At most 1 day,2013Q2,0.068,investor_liquidity
At most 7 days,2013Q2,0.088,investor_liquidity
At most 30 days,2013Q2,0.227,investor_liquidity
At most 90 days,2013Q2,0.429,investor_liquidity
At most 180 days,2013Q2,0.58,investor_liquidity
At most 365 days,2013Q2,0.756,investor_liquidity
At most 1 day,2013Q3,0.065,investor_liquidity
At most 7 days,2013Q3,0.087,investor_liquidity
At most 30 days,2013Q3,0.222,investor_liquidity
At most 90 days,2013Q3,0.437,investor_liquidity
At most 180 days,2013Q3,0.595,investor_liquidity
At most 365 days,2013Q3,0.744,investor_liquidity
At most 1 day,2013Q4,0.077,investor_liquidity
At most 7 days,2013Q4,0.113,investor_liquidity
At most 30 days,2013Q4,0.245,investor_liquidity
At most 90 days,2013Q4,0.485,investor_liquidity
At most 180 days,2013Q4,0.579,investor_liquidity
At most 365 days,2013Q4,0.755,investor_liquidity
At most 1 day,2014Q1,0.099,investor_liquidity
At most 7 days,2014Q1,0.119,investor_liquidity
At most 30 days,2014Q1,0.263,investor_liquidity
At most 90 days,2014Q1,0.449,investor_liquidity
At most 180 days,2014Q1,0.595,investor_liquidity
At most 365 days,2014Q1,0.76,investor_liquidity
At most 1 day,2014Q2,0.078,investor_liquidity
At most 7 days,2014Q2,0.11,investor_liquidity
At most 30 days,2014Q2,0.243,investor_liquidity
At most 90 days,2014Q2,0.442,investor_liquidity
At most 180 days,2014Q2,0.584,investor_liquidity
At most 365 days,2014Q2,0.756,investor_liquidity
At most 1 day,2014Q3,0.064,investor_liquidity
At most 7 days,2014Q3,0.103,investor_liquidity
At most 30 days,2014Q3,0.241,investor_liquidity
At most 90 days,2014Q3,0.458,investor_liquidity
At most 180 days,2014Q3,0.62,investor_liquidity
At most 365 days,2014Q3,0.757,investor_liquidity
At most 1 day,2014Q4,0.076,investor_liquidity
At most 7 days,2014Q4,0.114,investor_liquidity
At most 30 days,2014Q4,0.259,investor_liquidity
At most 90 days,2014Q4,0.497,investor_liquidity
At most 180 days,2014Q4,0.59,investor_liquidity
At most 365 days,2014Q4,0.755,investor_liquidity
At most 1 day,2015Q1,0.067,investor_liquidity
At most 7 days,2015Q1,0.128,investor_liquidity
At most 30 days,2015Q1,0.272,investor_liquidity
At most 90 days,2015Q1,0.465,investor_liquidity
At most 180 days,2015Q1,0.604,investor_liquidity
At most 365 days,2015Q1,0.752,investor_liquidity
At most 1 day,2015Q2,0.069,investor_liquidity
At most 7 days,2015Q2,0.131,investor_liquidity
At most 30 days,2015Q2,0.258,investor_liquidity
At most 90 days,2015Q2,0.457,investor_liquidity
At most 180 days,2015Q2,0.6,investor_liquidity
At most 365 days,2015Q2,0.748,investor_liquidity
At most 1 day,2015Q3,0.07,investor_liquidity
At most 7 days,2015Q3,0.134,investor_liquidity
At most 30 days,2015Q3,0.263,investor_liquidity
At most 90 days,2015Q3,0.467,investor_liquidity
At most 180 days,2015Q3,0.625,investor_liquidity
At most 365 days,2015Q3,0.747,investor_liquidity
At most 1 day,2015Q4,0.07,investor_liquidity
At most 7 days,2015Q4,0.132,investor_liquidity
At most 30 days,2015Q4,0.253,investor_liquidity
At most 90 days,2015Q4,0.453,investor_liquidity
At most 180 days,2015Q4,0.583,investor_liquidity
At most 365 days,2015Q4,0.728,investor_liquidity
At most 1 day,2016Q1,0.076,investor_liquidity
At most 7 days,2016Q1,0.138,investor_liquidity
At most 30 days,2016Q1,0.273,investor_liquidity
At most 90 days,2016Q1,0.469,investor_liquidity
At most 180 days,2016Q1,0.603,investor_liquidity
At most 365 days,2016Q1,0.752,investor_liquidity
At most 1 day,2016Q2,0.078,investor_liquidity
At most 7 days,2016Q2,0.139,investor_liquidity
At most 30 days,2016Q2,0.271,investor_liquidity
At most 90 days,2016Q2,0.466,investor_liquidity
At most 180 days,2016Q2,0.6,investor_liquidity
At most 365 days,2016Q2,0.755,investor_liquidity
At most 1 day,2016Q3,0.081,investor_liquidity
At most 7 days,2016Q3,0.142,investor_liquidity
At most 30 days,2016Q3,0.264,investor_liquidity
At most 90 days,2016Q3,0.471,investor_liquidity
At most 180 days,2016Q3,0.618,investor_liquidity
At most 365 days,2016Q3,0.746,investor_liquidity
At most 1 day,2016Q4,0.079,investor_liquidity
At most 7 days,2016Q4,0.139,investor_liquidity
At most 30 days,2016Q4,0.264,investor_liquidity
At most 90 days,2016Q4,0.495,investor_liquidity
At most 180 days,2016Q4,0.587,investor_liquidity
At most 365 days,2016Q4,0.741,investor_liquidity
At most 1 day,2017Q1,0.082,investor_liquidity
At most 7 days,2017Q1,0.143,investor_liquidity
At most 30 days,2017Q1,0.285,investor_liquidity
At most 90 days,2017Q1,0.475,investor_liquidity
At most 180 days,2017Q1,0.597,investor_liquidity
At most 365 days,2017Q1,0.741,investor_liquidity
At most 1 day,2017Q2,0.081,investor_liquidity
At most 7 days,2017Q2,0.144,investor_liquidity
At most 30 days,2017Q2,0.271,investor_liquidity
At most 90 days,2017Q2,0.466,investor_liquidity
At most 180 days,2017Q2,0.593,investor_liquidity
At most 365 days,2017Q2,0.739,investor_liquidity
At most 1 day,2017Q3,0.083,investor_liquidity
At most 7 days,2017Q3,0.146,investor_liquidity
At most 30 days,2017Q3,0.275,investor_liquidity
At most 90 days,2017Q3,0.482,investor_liquidity
At most 180 days,2017Q3,0.616,investor_liquidity
At most 365 days,2017Q3,0.736,investor_liquidity
At most 1 day,2017Q4,0.085,investor_liquidity
At most 7 days,2017Q4,0.15,investor_liquidity
At most 30 days,2017Q4,0.28,investor_liquidity
At most 90 days,2017Q4,0.509,investor_liquidity
At most 180 days,2017Q4,0.6,investor_liquidity
At most 365 days,2017Q4,0.738,investor_liquidity
At most 1 day,2018Q1,0.089,investor_liquidity
At most 7 days,2018Q1,0.154,investor_liquidity
At most 30 days,2018Q1,0.3,investor_liquidity
At most 90 days,2018Q1,0.489,investor_liquidity
At most 180 days,2018Q1,0.603,investor_liquidity
At most 365 days,2018Q1,0.741,investor_liquidity
At most 1 day,2018Q2,0.09,investor_liquidity
At most 7 days,2018Q2,0.152,investor_liquidity
At most 30 days,2018Q2,0.278,investor_liquidity
At most 90 days,2018Q2,0.475,investor_liquidity
At most 180 days,2018Q2,0.588,investor_liquidity
At most 365 days,2018Q2,0.735,investor_liquidity
At most 1 day,2018Q3,0.088,investor_liquidity
At most 7 days,2018Q3,0.149,investor_liquidity
