quarter,nav_share
2013Q1,0.085
2013Q2,0.084
2013Q3,0.083
2013Q4,0.08
2014Q1,0.079
2014Q2,0.08
2014Q3,0.08
2014Q4,0.08
2015Q1,0.084
2015Q2,0.082
2015Q3,0.08
2015Q4,0.079
2016Q1,0.079
2016Q2,0.078
2016Q3,0.079
2016Q4,0.08
2017Q1,0.077
2017Q2,0.077
2017Q3,0.075
2017Q4,0.075
2018Q1,0.073
2018Q2,0.073
2018Q3,0.072
2018Q4,0.074
2019Q1,0.072
2019Q2,0.073
2019Q3,0.074
2019Q4,0.074
2020Q1,0.075
2020Q2,0.075
2020Q3,0.075
2020Q4,0.071
2021Q1,0.071
2021Q2,0.07
2021Q3,0.073
2021Q4,0.073
2022Q1,0.076
2022Q2,0.078
2022Q3,0.081
2022Q4,0.079
2023Q1,0.079
2023Q2,0.078
2023Q3,0.081
2023Q4,0.077
2024Q1,0.08
2024Q2,0.081
2024Q3,0.081
2024Q4,0.082
2025Q1,0.082
