investment_type,month,long_notional,short_notional,net_exposure
CDO/CLO,2013-01,26,,
CDO/CLO,2013-02,25,,
CDO/CLO,2013-03,26,,
CDO/CLO,2013-04,26,,
CDO/CLO,2013-05,26,,
CDO/CLO,2013-06,27,,
CDO/CLO,2013-07,27,,
CDO/CLO,2013-08,27,,
CDO/CLO,2013-09,27,,
CDO/CLO,2013-10,29,,
CDO/CLO,2013-11,29,,
CDO/CLO,2013-12,30,,
CDO/CLO,2014-01,31,,
CDO/CLO,2014-02,31,,
CDO/CLO,2014-03,32,,
CDO/CLO,2014-04,35,,
CDO/CLO,2014-05,36,,
CDO/CLO,2014-06,38,,
CDO/CLO,2014-07,38,0.0,38.0
CDO/CLO,2014-08,39,,
CDO/CLO,2014-09,39,,
CDO/CLO,2014-10,39,,
CDO/CLO,2014-11,40,,
CDO/CLO,2014-12,40,,
CDO/CLO,2015-01,37,,
CDO/CLO,2015-02,40,,
CDO/CLO,2015-03,40,,
CDO/CLO,2015-04,41,,
CDO/CLO,2015-05,42,,
CDO/CLO,2015-06,43,,
CDO/CLO,2015-07,43,,
CDO/CLO,2015-08,42,,
CDO/CLO,2015-09,42,,
CDO/CLO,2015-10,39,,
CDO/CLO,2015-11,38,,
CDO/CLO,2015-12,37,,
CDO/CLO,2016-01,35,,
CDO/CLO,2016-02,33,,
CDO/CLO,2016-03,35,,
CDO/CLO,2016-04,34,,
CDO/CLO,2016-05,33,,
CDO/CLO,2016-06,32,,
CDO/CLO,2016-07,33,,
CDO/CLO,2016-08,32,,
CDO/CLO,2016-09,33,,
CDO/CLO,2016-10,33,,
CDO/CLO,2016-11,33,,
CDO/CLO,2016-12,34,,
CDO/CLO,2017-01,32,,
CDO/CLO,2017-02,32,,
CDO/CLO,2017-03,33,,
CDO/CLO,2017-04,33,,
CDO/CLO,2017-05,34,,
CDO/CLO,2017-06,33,,
CDO/CLO,2017-07,34,,
CDO/CLO,2017-08,34,,
CDO/CLO,2017-09,35,,
CDO/CLO,2017-10,35,,
CDO/CLO,2017-11,35,,
CDO/CLO,2017-12,35,,
CDO/CLO,2018-01,37,,
CDO/CLO,2018-02,37,,
CDO/CLO,2018-03,38,,
CDO/CLO,2018-04,38,,
CDO/CLO,2018-05,39,,
