sector,quarter,amount,table
Software Publishers,2013Q4,0.028,Tab.10.1
Computing Infrastructure...,2013Q4,0.029,Tab.10.1
Custom Computer Programming...,2013Q4,0.009,Tab.10.1
Insurance Agencies and Brokerages,2013Q4,0.009,Tab.10.1
Other Financial Vehicles,2013Q4,0.004,Tab.10.1
Computer Systems Design Services,2013Q4,0.005,Tab.10.1
"All Other Professional,...",2013Q4,0.004,Tab.10.1
Other Computer Related Services,2013Q4,0.004,Tab.10.1
Offices of Physicians,2013Q4,0.002,Tab.10.1
Lessors of Nonresidential Buildings,2013Q4,0.008,Tab.10.1
Engineering Services,2013Q4,0.003,Tab.10.1
Consumer Lending,2013Q4,0.003,Tab.10.1
Natural Gas Distribution,2013Q4,0.005,Tab.10.1
Full-Service Restaurants,2013Q4,0.005,Tab.10.1
Offices of Other Holding Companies,2013Q4,0.003,Tab.10.1
Home Health Care Services,2013Q4,0.004,Tab.10.1
Hotels and Motels,2013Q4,0.007,Tab.10.1
Commercial Banking,2013Q4,0.018,Tab.10.1
Other Activities Related to Real...,2013Q4,0.004,Tab.10.1
Lessors of Residential Buildings...,2013Q4,0.003,Tab.10.1
Offices of Dentists,2013Q4,0.002,Tab.10.1
Real Estate Credit,2013Q4,0.005,Tab.10.1
Marketing Research and Public...,2013Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2013Q4,0.008,Tab.10.1
Software Publishers,2014Q4,0.038,Tab.10.1
Computing Infrastructure...,2014Q4,0.023,Tab.10.1
Custom Computer Programming...,2014Q4,0.01,Tab.10.1
Insurance Agencies and Brokerages,2014Q4,0.01,Tab.10.1
Other Financial Vehicles,2014Q4,0.004,Tab.10.1
Computer Systems Design Services,2014Q4,0.008,Tab.10.1
"All Other Professional,...",2014Q4,0.006,Tab.10.1
Other Computer Related Services,2014Q4,0.004,Tab.10.1
Offices of Physicians,2014Q4,0.002,Tab.10.1
Lessors of Nonresidential Buildings,2014Q4,0.008,Tab.10.1
Engineering Services,2014Q4,0.002,Tab.10.1
Consumer Lending,2014Q4,0.006,Tab.10.1
Natural Gas Distribution,2014Q4,0.004,Tab.10.1
Full-Service Restaurants,2014Q4,0.009,Tab.10.1
Offices of Other Holding Companies,2014Q4,0.003,Tab.10.1
Home Health Care Services,2014Q4,0.003,Tab.10.1
Hotels and Motels,2014Q4,0.007,Tab.10.1
Commercial Banking,2014Q4,0.011,Tab.10.1
Other Activities Related to Real...,2014Q4,0.005,Tab.10.1
Lessors of Residential Buildings...,2014Q4,0.004,Tab.10.1
Offices of Dentists,2014Q4,0.002,Tab.10.1
Real Estate Credit,2014Q4,0.004,Tab.10.1
Marketing Research and Public...,2014Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2014Q4,0.005,Tab.10.1
Software Publishers,2015Q4,0.049,Tab.10.1
Computing Infrastructure...,2015Q4,0.018,Tab.10.1
Custom Computer Programming...,2015Q4,0.015,Tab.10.1
Insurance Agencies and Brokerages,2015Q4,0.01,Tab.10.1
Other Financial Vehicles,2015Q4,0.006,Tab.10.1
Computer Systems Design Services,2015Q4,0.006,Tab.10.1
"All Other Professional,...",2015Q4,0.006,Tab.10.1
Other Computer Related Services,2015Q4,0.005,Tab.10.1
Offices of Physicians,2015Q4,0.003,Tab.10.1
Lessors of Nonresidential Buildings,2015Q4,0.008,Tab.10.1
Engineering Services,2015Q4,0.004,Tab.10.1
Consumer Lending,2015Q4,0.008,Tab.10.1
Natural Gas Distribution,2015Q4,0.006,Tab.10.1
Full-Service Restaurants,2015Q4,0.007,Tab.10.1
Offices of Other Holding Companies,2015Q4,0.006,Tab.10.1
Home Health Care Services,2015Q4,0.003,Tab.10.1
Hotels and Motels,2015Q4,0.006,Tab.10.1
Commercial Banking,2015Q4,0.009,Tab.10.1
Other Activities Related to Real...,2015Q4,0.003,Tab.10.1
Lessors of Residential Buildings...,2015Q4,0.004,Tab.10.1
Offices of Dentists,2015Q4,0.002,Tab.10.1
Real Estate Credit,2015Q4,0.009,Tab.10.1
Marketing Research and Public...,2015Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2015Q4,0.005,Tab.10.1
Software Publishers,2016Q4,0.061,Tab.10.1
Computing Infrastructure...,2016Q4,0.02,Tab.10.1
Custom Computer Programming...,2016Q4,0.015,Tab.10.1
Insurance Agencies and Brokerages,2016Q4,0.012,Tab.10.1
Other Financial Vehicles,2016Q4,0.018,Tab.10.1
Computer Systems Design Services,2016Q4,0.01,Tab.10.1
"All Other Professional,...",2016Q4,0.009,Tab.10.1
Other Computer Related Services,2016Q4,0.009,Tab.10.1
Offices of Physicians,2016Q4,0.004,Tab.10.1
