strategy,quarter,gav,nav,borrowing
Credit,2013Q1,158.0,99.0,4.4
Credit,2013Q2,163.0,99.0,5.0
Credit,2013Q3,166.0,100.0,5.7
Credit,2013Q4,160.0,94.0,7.4
Credit,2014Q1,204.0,120.0,9.5
Credit,2014Q2,193.0,119.0,6.7
Credit,2014Q3,189.0,126.0,4.0
Credit,2014Q4,194.0,121.0,6.4
Credit,2015Q1,197.0,118.0,5.6
Credit,2015Q2,191.0,118.0,5.3
Credit,2015Q3,213.0,130.0,4.9
Credit,2015Q4,194.0,122.0,4.1
Credit,2016Q1,190.0,123.0,4.1
Credit,2016Q2,179.0,118.0,4.0
Credit,2016Q3,202.0,127.0,2.9
Credit,2016Q4,189.0,126.0,2.7
Credit,2017Q1,193.0,124.0,3.3
Credit,2017Q2,188.0,118.0,3.0
Credit,2017Q3,194.0,133.0,3.1
Credit,2017Q4,172.0,115.0,3.2
Credit,2018Q1,172.0,115.0,3.3
Credit,2018Q2,204.0,135.0,2.9
Credit,2018Q3,207.0,137.0,2.8
Credit,2018Q4,213.0,135.0,3.3
Credit,2019Q1,206.0,132.0,3.2
Credit,2019Q2,202.0,134.0,2.6
Credit,2019Q3,203.0,137.0,2.4
Credit,2019Q4,231.0,147.0,2.8
Credit,2020Q1,220.0,128.0,3.1
Credit,2020Q2,247.0,156.0,2.8
Credit,2020Q3,242.0,158.0,2.8
Credit,2020Q4,250.0,167.0,2.8
Credit,2021Q1,281.0,186.0,3.0
Credit,2021Q2,308.0,196.0,3.2
Credit,2021Q3,282.0,182.0,3.0
Credit,2021Q4,309.0,194.0,3.1
Credit,2022Q1,331.0,205.0,3.2
Credit,2022Q2,328.0,201.0,3.1
Credit,2022Q3,331.0,199.0,3.2
Credit,2022Q4,348.0,205.0,3.2
Credit,2023Q1,358.0,209.0,3.4
Credit,2023Q2,363.0,206.0,3.5
Credit,2023Q3,396.0,229.0,3.4
Credit,2023Q4,402.0,233.0,3.4
Credit,2024Q1,424.0,237.0,3.6
Credit,2024Q2,446.0,260.0,3.5
Credit,2024Q3,467.0,270.0,3.5
Credit,2024Q4,484.0,270.0,3.6
Credit,2025Q1,481.0,270.0,3.5
Equity,2013Q1,948.0,581.0,3.4
Equity,2013Q2,960.0,595.0,3.4
Equity,2013Q3,1045.0,643.0,3.3
Equity,2013Q4,1159.0,696.0,3.5
Equity,2014Q1,1116.0,671.0,3.8
Equity,2014Q2,1208.0,763.0,3.3
Equity,2014Q3,1221.0,778.0,3.2
Equity,2014Q4,1223.0,786.0,2.9
Equity,2015Q1,1310.0,836.0,3.2
