quarter,weeks,commodity_total,credit_cleared,credit_total,credit_uncleared,cross_currency_cleared,cross_currency_total,cross_currency_uncleared,equity_cleared,equity_total,fx_cleared,fx_total,fx_uncleared,ir_cleared,ir_total,ir_uncleared,ir_cleared_pct,credit_cleared_pct,fx_cleared_pct,cross_currency_cleared_pct,equity_cleared_pct
2012Q4,4,3091.0,2551.95,20639.476,18087.527,,16648.654,16648.654,0.0,5166.993,,,,170352.573,373145.478,202792.905,0.45653125401133765,0.1236441273993584,,,
2013Q1,13,3091.0,2707.382,20919.676,18212.294,,16417.587,16417.587,,6445.209,,,,184072.535,386573.416,202500.881,0.47616449393923144,0.12941796995326316,,,
2013Q2,13,,2890.797,20241.959,17351.162,,9289.339,9289.339,,5753.449,,,,195477.507,327659.186,132181.678,0.5965879039936333,0.14281211615931047,,,
2013Q3,13,,3161.527,19092.493,15930.966,,16678.663,16678.663,,5874.865,,,,210869.228,415624.591,204755.363,0.5073550328017045,0.16559005678305083,,,
2013Q4,13,,2032.736,8580.339,6547.603,0.0,14137.477,14137.477,,4420.0,,31450.0,,223388.59,367274.928,143886.338,0.6082326153229822,0.23690625743341845,,0.0,
2014Q1,9,,2291.9018633,8521.129975099999,6229.2281118,0.0,16265.064916,16265.064916,,4420.0,,31450.0,,212880.64588999999,344278.82361,131398.17772,0.6183379031501274,0.2689668940618528,,0.0,
2014Q2,6,,1899.06,7439.286,5540.226,0.0,15903.169,15903.169,,4420.0,,31450.0,,214292.86,344249.003,129956.143,0.6224937708824678,0.255274498117158,,0.0,
2014Q3,13,,1853.914,6666.525,4812.61,0.0,15754.707,15754.707,,4420.0,,31450.0,,215362.903,343610.252,128247.349,0.6267650681156044,0.2780930094764514,,0.0,
2014Q4,13,,1914.519,6240.051,4325.532,0.0,15066.186,15066.186,,4420.0,,31450.0,,199141.1,311213.412,112072.312,0.6398859828059081,0.3068114347142355,,0.0,
2015Q1,13,,1828.361,5987.012,4158.651,0.0,10385.125,10385.125,,4420.0,,31450.0,,168678.296,272821.705,104143.409,0.6182730072741096,0.30538789633292873,,0.0,
2015Q2,13,,1624.737,5566.069,3941.332,0.0,10858.373,10858.373,,4420.0,,31450.0,,158955.546,259007.267,100051.722,0.6137107573896758,0.2919002621059854,,0.0,
2015Q3,13,,1734.995,5483.47,3748.475,0.0,10690.237,10690.237,,4420.0,,31450.0,,149640.318,255600.241,105959.923,0.585446701515434,0.31640457593458154,,0.0,
2015Q4,13,,1581.482,4817.333,3235.851,0.0,11140.445,11140.445,,4420.0,,31450.0,,142109.097,250086.001,107976.904,0.5682409108537028,0.32828994798574235,,0.0,
2016Q1,13,,1788.398,4954.811,3166.413,,,,,,,,,149289.043,253206.356,103917.313,0.5895943741633405,0.3609417190685982,,,
2016Q2,13,,1603.481,4471.391,2867.91,,,,,,,,,159935.952,248863.41,88927.458,0.6426655971643239,0.35860898767296356,,,
2016Q3,14,,1681.09,4253.45,2572.36,,,,,,,,,138156.442,213631.268,75474.826,0.6467051536669248,0.3952297546697387,,,
2016Q4,13,,1457.95,3568.813,2110.863,,,,,,,,,127344.075,200866.412,73522.338,0.6339739617592213,0.4085251875063221,,,
2017Q1,13,,1660.298,3994.925,2334.627,,,,,,,,,139868.802,220858.613,80989.811,0.6332956641360415,0.41560179477712345,,,
2017Q2,13,,1744.317,3920.444,2176.126,,,,,,,,,151974.642,238917.163,86942.52,0.636097633555108,0.44492843157560724,,,
2017Q3,13,,2127.186,4548.408,2421.222,,,,,,,,,153535.404,246835.685,93300.281,0.6220146167277232,0.4676770421650828,,,
2017Q4,13,,2003.719,4237.956,2234.236,,,,,,,,,146464.928,235292.668,88827.741,0.6224797790979191,0.4728031626567147,,,
2018Q1,13,,2172.89,4482.656,2309.766,,,,,,,,,166145.084,266433.364,100288.28,0.6235896342171321,0.4847327120350078,,,
