date,commodity_total,credit_cleared,credit_total,credit_uncleared,cross_currency_cleared,cross_currency_total,cross_currency_uncleared,equity_cleared,equity_total,fx_cleared,fx_total,fx_uncleared,ir_cleared,ir_total,ir_uncleared,ir_cleared_pct,credit_cleared_pct,fx_cleared_pct,cross_currency_cleared_pct,equity_cleared_pct
2012-12-07,3091.0,2756.56,22348.723,19592.163,,16715.73,16715.73,0.0,,,,,176258.249,386815.002,210556.753,0.45566549406995344,0.12334306528386431,,,
2012-12-14,3091.0,2774.168,22483.711,19709.543,,14833.311,14833.311,,5166.993,,,,178728.485,373815.958,195087.473,0.47811892771041087,0.12338568130501233,,,
2012-12-21,3091.0,2540.603,20541.675,18001.072,,16716.689,16716.689,,5166.993,,,,171218.535,375002.189,203783.654,0.45658009478979333,0.12368042041362255,,,
2012-12-28,3091.0,2551.95,20639.476,18087.527,,16648.654,16648.654,,5166.993,,,,170352.573,373145.478,202792.905,0.45653125401133765,0.1236441273993584,,,
2013-01-04,3091.0,2576.102,20564.465,17988.362,,16574.252,16574.252,,,,,,169515.426,370621.611,201106.184,0.45738138567424236,0.12526958518006667,,,
2013-01-11,,2606.053,20885.424,18279.372,,16747.192,16747.192,,,,,,175639.239,380218.108,204578.869,0.4619433827701862,0.12477855369371481,,,
2013-01-18,,2624.288,20946.955,18322.667,,17016.046,17016.046,,,,,,178792.699,385395.44,206602.742,0.4639201205909442,0.12528255300114025,,,
2013-01-25,,2665.557,21141.04,18475.483,,16743.138,16743.138,,5246.549,,,,181091.559,388372.022,207280.462,0.4662837401814696,0.12608447834165204,,,
2013-02-01,,2693.84,21386.489,18692.649,,16797.419,16797.419,,,,,,185636.032,395042.431,209406.399,0.4699141596766855,0.12595989926163195,,,
2013-02-08,,2582.325,21231.525,18649.2,,16700.745,16700.745,,,,,,183646.769,391358.938,207712.17,0.4692540559786576,0.12162692034604201,,,
2013-02-15,,2578.124,21492.16,18914.036,,16665.001,16665.001,,5611.781,,,,184123.806,390901.605,206777.799,0.4710234075401149,0.11995648645831782,,,
2013-02-22,,2580.645,21438.16,18857.515,,16542.09,16542.09,,5611.781,,,,184188.274,389522.017,205333.744,0.4728571581616143,0.12037623564708912,,,
2013-03-01,,2556.168,21547.198,18991.03,,16516.393,16516.393,,,,,,193519.383,400649.572,207130.189,0.4830140764508292,0.11863110925142101,,,
2013-03-08,,2567.284,21622.938,19055.654,,16540.842,16540.842,,,,,,196159.453,403542.85,207383.397,0.4860932438773231,0.1187296564416917,,,
2013-03-15,,2646.3,21655.269,19008.969,,16600.194,16600.194,,6445.209,,,,190020.102,394800.61,204780.508,0.4813065055801206,0.12220120655162492,,,
2013-03-22,,2690.049,20984.214,18294.165,,16439.228,16439.228,,6445.209,,,,184091.216,395103.018,211011.802,0.4659321939170811,0.12819393664208723,,,
2013-03-29,,2707.382,20919.676,18212.294,,16417.587,16417.587,,6445.209,,,,184072.535,386573.416,202500.881,0.47616449393923144,0.12941796995326316,,,
2013-04-05,,2754.868,21404.331,18649.463,,16430.721,16430.721,,,,,,188852.216,391120.754,202268.538,0.48284887485157585,0.12870610158289927,,,
2013-04-12,,2761.688,21528.25,18766.562,,16543.765,16543.765,,,,,,187043.794,390682.836,203639.042,0.4787612271761025,0.12828204800668888,,,
2013-04-19,,2761.688,21528.25,18766.562,,16543.765,16543.765,,5745.28,,,,187043.794,390682.836,203639.042,0.4787612271761025,0.12828204800668888,,,
2013-04-26,,2800.161,21497.62,18697.46,,16302.929,16302.929,,5745.28,,,,188165.176,393435.317,205270.141,0.4782620366539184,0.1302544653780279,,,
2013-05-03,,2873.243,21671.672,18798.429,,16390.061,16390.061,,,,,,190914.654,398512.394,207597.74,0.479068297183249,0.13258058722926408,,,
2013-05-10,,2832.895,21656.424,18823.529,,16324.215,16324.215,,,,,,180958.931,387954.732,206995.801,0.46644341742427825,0.1308108393149303,,,
