date,metric,value_millions,value_billions
2012-12-07,commodity_cleared,,
2012-12-07,commodity_total,3091000.0,3091.0
2012-12-07,commodity_uncleared,,
2012-12-07,credit_cleared,2756560.0,2756.56
2012-12-07,credit_total,22348723.0,22348.723
2012-12-07,credit_uncleared,19592163.0,19592.163
2012-12-07,cross_currency_cleared,,
2012-12-07,cross_currency_total,16715730.0,16715.73
2012-12-07,cross_currency_uncleared,16715730.0,16715.73
2012-12-07,equity_cleared,0.0,0.0
2012-12-07,equity_total,,
2012-12-07,equity_uncleared,,
2012-12-07,ir_cleared,176258249.0,176258.249
2012-12-07,ir_total,386815002.0,386815.002
2012-12-07,ir_uncleared,210556753.0,210556.753
2012-12-14,commodity_cleared,,
2012-12-14,commodity_total,3091000.0,3091.0
2012-12-14,commodity_uncleared,,
2012-12-14,credit_cleared,2774168.0,2774.168
2012-12-14,credit_total,22483711.0,22483.711
2012-12-14,credit_uncleared,19709543.0,19709.543
2012-12-14,cross_currency_cleared,,
2012-12-14,cross_currency_total,14833311.0,14833.311
2012-12-14,cross_currency_uncleared,14833311.0,14833.311
2012-12-14,equity_cleared,,
2012-12-14,equity_total,5166993.0,5166.993
2012-12-14,equity_uncleared,,
2012-12-14,ir_cleared,178728485.0,178728.485
2012-12-14,ir_total,373815958.0,373815.958
2012-12-14,ir_uncleared,195087473.0,195087.473
2012-12-21,commodity_cleared,,
2012-12-21,commodity_total,3091000.0,3091.0
2012-12-21,commodity_uncleared,,
2012-12-21,credit_cleared,2540603.0,2540.603
2012-12-21,credit_total,20541675.0,20541.675
2012-12-21,credit_uncleared,18001072.0,18001.072
2012-12-21,cross_currency_cleared,,
2012-12-21,cross_currency_total,16716689.0,16716.689
2012-12-21,cross_currency_uncleared,16716689.0,16716.689
2012-12-21,equity_cleared,,
2012-12-21,equity_total,5166993.0,5166.993
2012-12-21,equity_uncleared,,
2012-12-21,ir_cleared,171218535.0,171218.535
2012-12-21,ir_total,375002189.0,375002.189
2012-12-21,ir_uncleared,203783654.0,203783.654
2012-12-28,commodity_cleared,,
2012-12-28,commodity_total,3091000.0,3091.0
2012-12-28,commodity_uncleared,,
2012-12-28,credit_cleared,2551950.0,2551.95
2012-12-28,credit_total,20639476.0,20639.476
2012-12-28,credit_uncleared,18087527.0,18087.527
2012-12-28,cross_currency_cleared,,
2012-12-28,cross_currency_total,16648654.0,16648.654
2012-12-28,cross_currency_uncleared,16648654.0,16648.654
2012-12-28,equity_cleared,,
2012-12-28,equity_total,5166993.0,5166.993
2012-12-28,equity_uncleared,,
2012-12-28,ir_cleared,170352573.0,170352.573
2012-12-28,ir_total,373145478.0,373145.478
2012-12-28,ir_uncleared,202792905.0,202792.905
2013-01-04,commodity_cleared,,
2013-01-04,commodity_total,3091000.0,3091.0
2013-01-04,commodity_uncleared,,
2013-01-04,credit_cleared,2576102.0,2576.102
2013-01-04,credit_total,20564465.0,20564.465
2013-01-04,credit_uncleared,17988362.0,17988.362
2013-01-04,cross_currency_cleared,,
2013-01-04,cross_currency_total,16574252.0,16574.252
2013-01-04,cross_currency_uncleared,16574252.0,16574.252
2013-01-04,equity_cleared,,
2013-01-04,equity_total,,
2013-01-04,equity_uncleared,,
2013-01-04,ir_cleared,169515426.0,169515.426
2013-01-04,ir_total,370621611.0,370621.611
2013-01-04,ir_uncleared,201106184.0,201106.184
2013-01-11,credit_cleared,2606053.0,2606.053
2013-01-11,credit_total,20885424.0,20885.424
2013-01-11,credit_uncleared,18279372.0,18279.372
2013-01-11,cross_currency_cleared,,
2013-01-11,cross_currency_total,16747192.0,16747.192
2013-01-11,cross_currency_uncleared,16747192.0,16747.192
2013-01-11,equity_cleared,,
2013-01-11,equity_total,,
2013-01-11,equity_uncleared,,
2013-01-11,ir_cleared,175639239.0,175639.239
2013-01-11,ir_total,380218108.0,380218.108
2013-01-11,ir_uncleared,204578869.0,204578.869
2013-01-18,credit_cleared,2624288.0,2624.288
2013-01-18,credit_total,20946955.0,20946.955
2013-01-18,credit_uncleared,18322667.0,18322.667
2013-01-18,cross_currency_cleared,,
2013-01-18,cross_currency_total,17016046.0,17016.046
2013-01-18,cross_currency_uncleared,17016046.0,17016.046
2013-01-18,equity_cleared,,
2013-01-18,equity_total,,
2013-01-18,equity_uncleared,,
2013-01-18,ir_cleared,178792699.0,178792.699
2013-01-18,ir_total,385395440.0,385395.44
2013-01-18,ir_uncleared,206602742.0,206602.742
2013-01-25,credit_cleared,2665557.0,2665.557
2013-01-25,credit_total,21141040.0,21141.04
2013-01-25,credit_uncleared,18475483.0,18475.483
2013-01-25,cross_currency_cleared,,
2013-01-25,cross_currency_total,16743138.0,16743.138
2013-01-25,cross_currency_uncleared,16743138.0,16743.138
2013-01-25,equity_cleared,,
2013-01-25,equity_total,5246549.0,5246.549
2013-01-25,equity_uncleared,,
2013-01-25,ir_cleared,181091559.0,181091.559
2013-01-25,ir_total,388372022.0,388372.022
2013-01-25,ir_uncleared,207280462.0,207280.462
2013-02-01,credit_cleared,2693840.0,2693.84
2013-02-01,credit_total,21386489.0,21386.489
2013-02-01,credit_uncleared,18692649.0,18692.649
2013-02-01,cross_currency_cleared,,
2013-02-01,cross_currency_total,16797419.0,16797.419
2013-02-01,cross_currency_uncleared,16797419.0,16797.419
2013-02-01,equity_cleared,,
2013-02-01,equity_total,,
2013-02-01,equity_uncleared,,
2013-02-01,ir_cleared,185636032.0,185636.032
2013-02-01,ir_total,395042431.0,395042.431
2013-02-01,ir_uncleared,209406399.0,209406.399
2013-02-08,credit_cleared,2582325.0,2582.325
2013-02-08,credit_total,21231525.0,21231.525
2013-02-08,credit_uncleared,18649200.0,18649.2
2013-02-08,cross_currency_cleared,,
2013-02-08,cross_currency_total,16700745.0,16700.745
2013-02-08,cross_currency_uncleared,16700745.0,16700.745
2013-02-08,equity_cleared,,
2013-02-08,equity_total,,
2013-02-08,equity_uncleared,,
2013-02-08,ir_cleared,183646769.0,183646.769
2013-02-08,ir_total,391358938.0,391358.938
2013-02-08,ir_uncleared,207712170.0,207712.17
2013-02-15,credit_cleared,2578124.0,2578.124
2013-02-15,credit_total,21492160.0,21492.16
2013-02-15,credit_uncleared,18914036.0,18914.036
2013-02-15,cross_currency_cleared,,
2013-02-15,cross_currency_total,16665001.0,16665.001
2013-02-15,cross_currency_uncleared,16665001.0,16665.001
2013-02-15,equity_cleared,,
2013-02-15,equity_total,5611781.0,5611.781
2013-02-15,equity_uncleared,,
2013-02-15,ir_cleared,184123806.0,184123.806
2013-02-15,ir_total,390901605.0,390901.605
2013-02-15,ir_uncleared,206777799.0,206777.799
2013-02-22,credit_cleared,2580645.0,2580.645
2013-02-22,credit_total,21438160.0,21438.16
2013-02-22,credit_uncleared,18857515.0,18857.515
2013-02-22,cross_currency_cleared,,
2013-02-22,cross_currency_total,16542090.0,16542.09
2013-02-22,cross_currency_uncleared,16542090.0,16542.09
2013-02-22,equity_cleared,,
2013-02-22,equity_total,5611781.0,5611.781
2013-02-22,equity_uncleared,,
2013-02-22,ir_cleared,184188274.0,184188.274
2013-02-22,ir_total,389522017.0,389522.017
2013-02-22,ir_uncleared,205333744.0,205333.744
2013-03-01,credit_cleared,2556168.0,2556.168
2013-03-01,credit_total,21547198.0,21547.198
2013-03-01,credit_uncleared,18991030.0,18991.03
2013-03-01,cross_currency_cleared,,
2013-03-01,cross_currency_total,16516393.0,16516.393
2013-03-01,cross_currency_uncleared,16516393.0,16516.393
2013-03-01,equity_cleared,,
2013-03-01,equity_total,,
2013-03-01,equity_uncleared,,
2013-03-01,ir_cleared,193519383.0,193519.383
2013-03-01,ir_total,400649572.0,400649.572
2013-03-01,ir_uncleared,207130189.0,207130.189
2013-03-08,credit_cleared,2567284.0,2567.284
2013-03-08,credit_total,21622938.0,21622.938
2013-03-08,credit_uncleared,19055654.0,19055.654
2013-03-08,cross_currency_cleared,,
2013-03-08,cross_currency_total,16540842.0,16540.842
2013-03-08,cross_currency_uncleared,16540842.0,16540.842
2013-03-08,equity_cleared,,
2013-03-08,equity_total,,
2013-03-08,equity_uncleared,,
2013-03-08,ir_cleared,196159453.0,196159.453
2013-03-08,ir_total,403542850.0,403542.85
2013-03-08,ir_uncleared,207383397.0,207383.397
2013-03-15,credit_cleared,2646300.0,2646.3
2013-03-15,credit_total,21655269.0,21655.269
2013-03-15,credit_uncleared,19008969.0,19008.969
2013-03-15,cross_currency_cleared,,
2013-03-15,cross_currency_total,16600194.0,16600.194
2013-03-15,cross_currency_uncleared,16600194.0,16600.194
2013-03-15,equity_cleared,,
2013-03-15,equity_total,6445209.0,6445.209
2013-03-15,equity_uncleared,,
2013-03-15,ir_cleared,190020102.0,190020.102
2013-03-15,ir_total,394800610.0,394800.61
2013-03-15,ir_uncleared,204780508.0,204780.508
2013-03-22,credit_cleared,2690049.0,2690.049
2013-03-22,credit_total,20984214.0,20984.214
2013-03-22,credit_uncleared,18294165.0,18294.165
2013-03-22,cross_currency_cleared,,
2013-03-22,cross_currency_total,16439228.0,16439.228
2013-03-22,cross_currency_uncleared,16439228.0,16439.228
2013-03-22,equity_cleared,,
2013-03-22,equity_total,6445209.0,6445.209
2013-03-22,equity_uncleared,,
2013-03-22,ir_cleared,184091216.0,184091.216
2013-03-22,ir_total,395103018.0,395103.018
2013-03-22,ir_uncleared,211011802.0,211011.802
2013-03-29,credit_cleared,2707382.0,2707.382
2013-03-29,credit_total,20919676.0,20919.676
2013-03-29,credit_uncleared,18212294.0,18212.294
2013-03-29,cross_currency_cleared,,
2013-03-29,cross_currency_total,16417587.0,16417.587
2013-03-29,cross_currency_uncleared,16417587.0,16417.587
2013-03-29,equity_cleared,,
2013-03-29,equity_total,6445209.0,6445.209
2013-03-29,equity_uncleared,,
2013-03-29,ir_cleared,184072535.0,184072.535
2013-03-29,ir_total,386573416.0,386573.416
2013-03-29,ir_uncleared,202500881.0,202500.881
2013-04-05,credit_cleared,2754868.0,2754.868
2013-04-05,credit_total,21404331.0,21404.331
2013-04-05,credit_uncleared,18649463.0,18649.463
2013-04-05,cross_currency_cleared,,
2013-04-05,cross_currency_total,16430721.0,16430.721
2013-04-05,cross_currency_uncleared,16430721.0,16430.721
2013-04-05,equity_cleared,,
2013-04-05,equity_total,,
2013-04-05,equity_uncleared,,
2013-04-05,ir_cleared,188852216.0,188852.216
2013-04-05,ir_total,391120754.0,391120.754
2013-04-05,ir_uncleared,202268538.0,202268.538
2013-04-12,credit_cleared,2761688.0,2761.688
2013-04-12,credit_total,21528250.0,21528.25
2013-04-12,credit_uncleared,18766562.0,18766.562
2013-04-12,cross_currency_cleared,,
2013-04-12,cross_currency_total,16543765.0,16543.765
2013-04-12,cross_currency_uncleared,16543765.0,16543.765
2013-04-12,equity_cleared,,
2013-04-12,equity_total,,
2013-04-12,equity_uncleared,,
2013-04-12,ir_cleared,187043794.0,187043.794
2013-04-12,ir_total,390682836.0,390682.836
2013-04-12,ir_uncleared,203639042.0,203639.042
2013-04-19,credit_cleared,2761688.0,2761.688
2013-04-19,credit_total,21528250.0,21528.25
2013-04-19,credit_uncleared,18766562.0,18766.562
2013-04-19,cross_currency_cleared,,
2013-04-19,cross_currency_total,16543765.0,16543.765
2013-04-19,cross_currency_uncleared,16543765.0,16543.765
2013-04-19,equity_cleared,,
2013-04-19,equity_total,5745280.0,5745.28
2013-04-19,equity_uncleared,,
2013-04-19,ir_cleared,187043794.0,187043.794
2013-04-19,ir_total,390682836.0,390682.836
2013-04-19,ir_uncleared,203639042.0,203639.042
2013-04-26,credit_cleared,2800161.0,2800.161
2013-04-26,credit_total,21497620.0,21497.62
2013-04-26,credit_uncleared,18697460.0,18697.46
2013-04-26,cross_currency_cleared,,
2013-04-26,cross_currency_total,16302929.0,16302.929
2013-04-26,cross_currency_uncleared,16302929.0,16302.929
2013-04-26,equity_cleared,,
2013-04-26,equity_total,5745280.0,5745.28
2013-04-26,equity_uncleared,,
2013-04-26,ir_cleared,188165176.0,188165.176
2013-04-26,ir_total,393435317.0,393435.317
2013-04-26,ir_uncleared,205270141.0,205270.141
2013-05-03,credit_cleared,2873243.0,2873.243
2013-05-03,credit_total,21671672.0,21671.672
2013-05-03,credit_uncleared,18798429.0,18798.429
2013-05-03,cross_currency_cleared,,
2013-05-03,cross_currency_total,16390061.0,16390.061
2013-05-03,cross_currency_uncleared,16390061.0,16390.061
2013-05-03,equity_cleared,,
2013-05-03,equity_total,,
2013-05-03,equity_uncleared,,
2013-05-03,ir_cleared,190914654.0,190914.654
2013-05-03,ir_total,398512394.0,398512.394
2013-05-03,ir_uncleared,207597740.0,207597.74
2013-05-10,credit_cleared,2832895.0,2832.895
2013-05-10,credit_total,21656424.0,21656.424
2013-05-10,credit_uncleared,18823529.0,18823.529
2013-05-10,cross_currency_cleared,,
2013-05-10,cross_currency_total,16324215.0,16324.215
2013-05-10,cross_currency_uncleared,16324215.0,16324.215
2013-05-10,equity_cleared,,
2013-05-10,equity_total,,
2013-05-10,equity_uncleared,,
2013-05-10,ir_cleared,180958931.0,180958.931
2013-05-10,ir_total,387954732.0,387954.732
2013-05-10,ir_uncleared,206995801.0,206995.801
2013-05-17,credit_cleared,2810345.0,2810.345
2013-05-17,credit_total,21581441.0,21581.441
2013-05-17,credit_uncleared,18771096.0,18771.096
2013-05-17,cross_currency_cleared,,
2013-05-17,cross_currency_total,16198271.0,16198.271
2013-05-17,cross_currency_uncleared,16198271.0,16198.271
2013-05-17,equity_cleared,,
2013-05-17,equity_total,5939173.0,5939.173
2013-05-17,equity_uncleared,,
2013-05-17,ir_cleared,191544662.0,191544.662
2013-05-17,ir_total,397914082.0,397914.082
2013-05-17,ir_uncleared,206369420.0,206369.42
2013-05-24,credit_cleared,2864839.0,2864.839
2013-05-24,credit_total,21732462.0,21732.462
2013-05-24,credit_uncleared,18867623.0,18867.623
2013-05-24,cross_currency_cleared,,
2013-05-24,cross_currency_total,16225526.0,16225.526
2013-05-24,cross_currency_uncleared,16225526.0,16225.526
2013-05-24,equity_cleared,,
2013-05-24,equity_total,5939173.0,5939.173
2013-05-24,equity_uncleared,,
2013-05-24,ir_cleared,194599924.0,194599.924
2013-05-24,ir_total,402094720.0,402094.72
2013-05-24,ir_uncleared,207494796.0,207494.796
2013-05-31,credit_cleared,2918057.0,2918.057
2013-05-31,credit_total,21849753.0,21849.753
2013-05-31,credit_uncleared,18931696.0,18931.696
2013-05-31,cross_currency_cleared,,
2013-05-31,cross_currency_total,16314153.0,16314.153
2013-05-31,cross_currency_uncleared,16314153.0,16314.153
2013-05-31,equity_cleared,,
2013-05-31,equity_total,5939173.0,5939.173
2013-05-31,equity_uncleared,,
2013-05-31,ir_cleared,196797929.0,196797.929
2013-05-31,ir_total,406096286.0,406096.286
2013-05-31,ir_uncleared,209298356.0,209298.356
2013-06-07,credit_cleared,2979054.0,2979.054
2013-06-07,credit_total,22116670.0,22116.67
2013-06-07,credit_uncleared,19137616.0,19137.616
2013-06-07,cross_currency_cleared,,
2013-06-07,cross_currency_total,16531493.0,16531.493
2013-06-07,cross_currency_uncleared,16531493.0,16531.493
2013-06-07,equity_cleared,,
2013-06-07,equity_total,,
2013-06-07,equity_uncleared,,
2013-06-07,ir_cleared,201245175.0,201245.175
2013-06-07,ir_total,412094029.0,412094.029
2013-06-07,ir_uncleared,210848854.0,210848.854
2013-06-14,credit_cleared,3056241.0,3056.241
2013-06-14,credit_total,22410768.0,22410.768
2013-06-14,credit_uncleared,19354527.0,19354.527
2013-06-14,cross_currency_cleared,,
2013-06-14,cross_currency_total,16766097.0,16766.097
2013-06-14,cross_currency_uncleared,16766097.0,16766.097
2013-06-14,equity_cleared,,
2013-06-14,equity_total,5753449.0,5753.449
2013-06-14,equity_uncleared,,
2013-06-14,ir_cleared,204622611.0,204622.611
2013-06-14,ir_total,417554891.0,417554.891
2013-06-14,ir_uncleared,212932280.0,212932.28
2013-06-21,credit_cleared,2910148.0,2910.148
2013-06-21,credit_total,20324833.0,20324.833
2013-06-21,credit_uncleared,17414685.0,17414.685
2013-06-21,cross_currency_cleared,,
2013-06-21,cross_currency_total,16399638.0,16399.638
2013-06-21,cross_currency_uncleared,16399638.0,16399.638
2013-06-21,equity_cleared,,
2013-06-21,equity_total,5753449.0,5753.449
2013-06-21,equity_uncleared,,
2013-06-21,ir_cleared,184072535.0,184072.535
2013-06-21,ir_total,390510960.0,390510.96
2013-06-21,ir_uncleared,206438425.0,206438.425
2013-06-28,credit_cleared,2890797.0,2890.797
2013-06-28,credit_total,20241959.0,20241.959
2013-06-28,credit_uncleared,17351162.0,17351.162
2013-06-28,cross_currency_cleared,,
2013-06-28,cross_currency_total,9289339.0,9289.339
2013-06-28,cross_currency_uncleared,9289339.0,9289.339
2013-06-28,equity_cleared,,
2013-06-28,equity_total,5753449.0,5753.449
2013-06-28,equity_uncleared,,
2013-06-28,ir_cleared,195477507.0,195477.507
2013-06-28,ir_total,327659186.0,327659.186
2013-06-28,ir_uncleared,132181678.0,132181.678
2013-07-05,credit_cleared,3037409.0,3037.409
2013-07-05,credit_total,20428492.0,20428.492
2013-07-05,credit_uncleared,17391083.0,17391.083
2013-07-05,cross_currency_cleared,,
2013-07-05,cross_currency_total,16205406.0,16205.406
2013-07-05,cross_currency_uncleared,16205406.0,16205.406
2013-07-05,equity_cleared,,
2013-07-05,equity_total,,
2013-07-05,equity_uncleared,,
2013-07-05,ir_cleared,195999899.0,195999.899
2013-07-05,ir_total,400176292.0,400176.292
2013-07-05,ir_uncleared,204176394.0,204176.394
2013-07-12,credit_cleared,2924048.0,2924.048
2013-07-12,credit_total,20551759.0,20551.759
2013-07-12,credit_uncleared,17627711.0,17627.711
2013-07-12,cross_currency_cleared,,
2013-07-12,cross_currency_total,16388810.0,16388.81
2013-07-12,cross_currency_uncleared,16388810.0,16388.81
2013-07-12,equity_cleared,,
2013-07-12,equity_total,,
2013-07-12,equity_uncleared,,
2013-07-12,ir_cleared,199995874.0,199995.874
2013-07-12,ir_total,407544951.0,407544.951
2013-07-12,ir_uncleared,207549077.0,207549.077
2013-07-19,credit_cleared,2920233.0,2920.233
2013-07-19,credit_total,20494037.0,20494.037
2013-07-19,credit_uncleared,17573804.0,17573.804
2013-07-19,cross_currency_cleared,,
2013-07-19,cross_currency_total,16351629.0,16351.629
2013-07-19,cross_currency_uncleared,16351629.0,16351.629
2013-07-19,equity_cleared,,
2013-07-19,equity_total,5994004.0,5994.004
2013-07-19,equity_uncleared,,
2013-07-19,ir_cleared,202237153.0,202237.153
2013-07-19,ir_total,409603188.0,409603.188
2013-07-19,ir_uncleared,207366035.0,207366.035
2013-07-26,credit_cleared,2949205.0,2949.205
2013-07-26,credit_total,20664345.0,20664.345
2013-07-26,credit_uncleared,17715140.0,17715.14
2013-07-26,cross_currency_cleared,,
2013-07-26,cross_currency_total,16491326.0,16491.326
2013-07-26,cross_currency_uncleared,16491326.0,16491.326
2013-07-26,equity_cleared,,
2013-07-26,equity_total,5994004.0,5994.004
2013-07-26,equity_uncleared,,
2013-07-26,ir_cleared,206005881.0,206005.881
2013-07-26,ir_total,415233742.0,415233.742
2013-07-26,ir_uncleared,209227861.0,209227.861
2013-08-02,credit_cleared,2963811.0,2963.811
2013-08-02,credit_total,20832727.0,20832.727
2013-08-02,credit_uncleared,17868916.0,17868.916
2013-08-02,cross_currency_cleared,,
2013-08-02,cross_currency_total,16487218.0,16487.218
2013-08-02,cross_currency_uncleared,16487218.0,16487.218
2013-08-02,equity_cleared,,
2013-08-02,equity_total,,
2013-08-02,equity_uncleared,,
2013-08-02,ir_cleared,207531819.0,207531.819
2013-08-02,ir_total,416033383.0,416033.383
2013-08-02,ir_uncleared,208501563.0,208501.563
2013-08-09,credit_cleared,2950751.0,2950.751
2013-08-09,credit_total,20886911.0,20886.911
2013-08-09,credit_uncleared,17936160.0,17936.16
2013-08-09,cross_currency_cleared,,
2013-08-09,cross_currency_total,16590667.0,16590.667
2013-08-09,cross_currency_uncleared,16590667.0,16590.667
2013-08-09,equity_cleared,,
2013-08-09,equity_total,,
2013-08-09,equity_uncleared,,
2013-08-09,ir_cleared,208635320.0,208635.32
2013-08-09,ir_total,418052416.0,418052.416
2013-08-09,ir_uncleared,209417096.0,209417.096
2013-08-16,credit_cleared,2991247.0,2991.247
2013-08-16,credit_total,20814035.0,20814.035
2013-08-16,credit_uncleared,17822788.0,17822.788
2013-08-16,cross_currency_cleared,,
2013-08-16,cross_currency_total,16560789.0,16560.789
2013-08-16,cross_currency_uncleared,16560789.0,16560.789
2013-08-16,equity_cleared,,
2013-08-16,equity_total,5812841.0,5812.841
2013-08-16,equity_uncleared,,
2013-08-16,ir_cleared,209877120.0,209877.12
2013-08-16,ir_total,418996714.0,418996.714
2013-08-16,ir_uncleared,209119594.0,209119.594
2013-08-23,credit_cleared,2994046.0,2994.046
2013-08-23,credit_total,20738098.0,20738.098
2013-08-23,credit_uncleared,17744052.0,17744.052
2013-08-23,cross_currency_cleared,,
2013-08-23,cross_currency_total,16500178.0,16500.178
2013-08-23,cross_currency_uncleared,16500178.0,16500.178
2013-08-23,equity_cleared,,
2013-08-23,equity_total,5812841.0,5812.841
2013-08-23,equity_uncleared,,
2013-08-23,ir_cleared,211297404.0,211297.404
2013-08-23,ir_total,420960671.0,420960.671
2013-08-23,ir_uncleared,209663267.0,209663.267
2013-08-30,credit_cleared,2986900.0,2986.9
2013-08-30,credit_total,20245713.0,20245.713
2013-08-30,credit_uncleared,17258813.0,17258.813
2013-08-30,cross_currency_cleared,,
2013-08-30,cross_currency_total,16472345.0,16472.345
2013-08-30,cross_currency_uncleared,16472345.0,16472.345
2013-08-30,equity_cleared,,
2013-08-30,equity_total,5812841.0,5812.841
2013-08-30,equity_uncleared,,
2013-08-30,ir_cleared,211255653.0,211255.653
2013-08-30,ir_total,419568269.0,419568.269
2013-08-30,ir_uncleared,208312616.0,208312.616
2013-09-06,credit_cleared,3024842.0,3024.842
2013-09-06,credit_total,20176617.0,20176.617
2013-09-06,credit_uncleared,17151775.0,17151.775
2013-09-06,cross_currency_cleared,,
2013-09-06,cross_currency_total,16435281.0,16435.281
2013-09-06,cross_currency_uncleared,16435281.0,16435.281
2013-09-06,equity_cleared,,
2013-09-06,equity_total,,
2013-09-06,equity_uncleared,,
2013-09-06,ir_cleared,212555033.0,212555.033
2013-09-06,ir_total,419992790.0,419992.79
2013-09-06,ir_uncleared,207437757.0,207437.757
2013-09-13,credit_cleared,3017463.0,3017.463
2013-09-13,credit_total,20136443.0,20136.443
2013-09-13,credit_uncleared,17118980.0,17118.98
2013-09-13,cross_currency_cleared,,
2013-09-13,cross_currency_total,16643657.0,16643.657
2013-09-13,cross_currency_uncleared,16643657.0,16643.657
2013-09-13,equity_cleared,,
2013-09-13,equity_total,,
2013-09-13,equity_uncleared,,
2013-09-13,ir_cleared,214882826.0,214882.826
2013-09-13,ir_total,423480877.0,423480.877
2013-09-13,ir_uncleared,208598051.0,208598.051
2013-09-20,credit_cleared,3139990.0,3139.99
2013-09-20,credit_total,19551056.0,19551.056
2013-09-20,credit_uncleared,16411066.0,16411.066
2013-09-20,cross_currency_cleared,,
2013-09-20,cross_currency_total,16720847.0,16720.847
2013-09-20,cross_currency_uncleared,16720847.0,16720.847
2013-09-20,equity_cleared,,
2013-09-20,equity_total,5874865.0,5874.865
2013-09-20,equity_uncleared,,
2013-09-20,ir_cleared,208550798.0,208550.798
2013-09-20,ir_total,414947461.0,414947.461
2013-09-20,ir_uncleared,206396663.0,206396.663
2013-09-27,credit_cleared,3161527.0,3161.527
2013-09-27,credit_total,19092493.0,19092.493
2013-09-27,credit_uncleared,15930966.0,15930.966
2013-09-27,cross_currency_cleared,,
2013-09-27,cross_currency_total,16678663.0,16678.663
2013-09-27,cross_currency_uncleared,16678663.0,16678.663
2013-09-27,equity_cleared,,
2013-09-27,equity_total,5874865.0,5874.865
2013-09-27,equity_uncleared,,
2013-09-27,ir_cleared,210869228.0,210869.228
2013-09-27,ir_total,415624591.0,415624.591
2013-09-27,ir_uncleared,204755363.0,204755.363
2013-10-04,credit_cleared,3194237.0,3194.237
2013-10-04,credit_total,19181631.0,19181.631
2013-10-04,credit_uncleared,15987394.0,15987.394
2013-10-04,cross_currency_cleared,,
2013-10-04,cross_currency_total,16854565.0,16854.565
2013-10-04,cross_currency_uncleared,16854565.0,16854.565
2013-10-04,equity_cleared,,
2013-10-04,equity_total,,
2013-10-04,equity_uncleared,,
