Date,VIX_mean,VIX_max,VIX_min,VIX_end,VIX_std
1990-03-31,22.174603174603174,27.25,17.24,19.73,2.5612879984409203
1990-06-30,18.72206349206349,24.16,14.72,15.5,2.266721491159504
1990-09-30,25.195555555555554,36.47,15.63,29.11,5.620978211783748
1990-12-31,26.11328125,33.98,20.09,26.38,3.703336142765
1991-03-31,22.515833333333333,36.2,14.9,16.88,5.152893309906275
1991-06-30,17.14703125,20.12,15.23,19.55,1.0074983629708243
1991-09-30,16.63421875,21.19,14.41,15.85,1.5187283785775618
1991-12-31,17.4553125,21.92,13.95,19.31,2.0395392949669513
1992-03-31,17.564285714285713,19.79,15.97,16.18,1.0600725998961995
1992-06-30,15.616349206349208,20.15,13.21,13.35,1.405480404136126
1992-09-30,13.90203125,16.19,12.27,14.28,0.8922847073708797
1992-12-31,14.76109375,21.02,11.51,12.57,2.5988264245082253
1993-03-31,13.255322580645162,16.22,11.3,12.53,1.248677618873342
1993-06-30,12.973174603174602,15.25,10.96,11.26,1.0730102747258197
1993-09-30,12.1171875,17.3,10.6,12.99,1.050909611672081
1993-12-31,12.4215625,15.9,9.31,11.66,1.5737733633552036
1994-03-31,13.436190476190477,20.45,9.94,20.45,2.1899634910577612
1994-06-30,14.51258064516129,23.87,11.22,14.97,2.0946402605838057
1994-09-30,12.51625,14.92,11.09,14.28,1.1270871292075852
1994-12-31,15.268730158730158,18.41,11.82,13.2,1.5889309573740416
1995-03-31,11.992380952380952,14.25,10.84,13.37,0.817183823213394
1995-06-30,12.19031746031746,13.5,10.75,11.38,0.6630476269906713
1995-09-30,12.472698412698412,13.78,11.1,12.74,0.6740374411664487
1995-12-31,12.899682539682539,15.74,10.36,12.52,1.3454774524356783
1996-03-31,15.398253968253968,20.7,12.0,18.88,2.1525128149051214
1996-06-30,16.36825396825397,20.22,13.68,13.68,1.2140156502187003
1996-09-30,16.7784375,21.55,13.71,16.95,1.9341880038214967
1996-12-31,17.20625,21.99,13.79,20.92,1.8775875267573885
1997-03-31,19.9165,22.14,17.09,22.14,0.9630087473422163
1997-06-30,19.92296875,21.82,17.51,21.53,1.0800494987003402
1997-09-30,22.445,25.99,17.82,22.91,2.000303945158304
1997-12-31,27.092380952380953,38.2,19.53,24.01,5.299935396528272
1998-03-31,21.324590163934424,28.69,17.76,24.22,2.5137843806834956
1998-06-30,21.534285714285716,26.09,18.99,19.71,1.5783563462540295
1998-09-30,29.75171875,45.29,16.23,40.95,8.435247581482876
1998-12-31,29.5371875,45.74,20.21,24.42,6.366135223082482
1999-03-31,27.252786885245904,32.98,22.73,23.26,2.616135273737159
1999-06-30,24.395555555555557,28.9,21.09,21.09,1.969798399523928
